"","P_GSM208636.cel","P_GSM208637.cel","P_GSM208638.cel","P_GSM208639.cel","P_GSM208640.cel","P_GSM208641.cel","P_GSM208642.cel","P_GSM208643.cel","P_GSM208644.cel","P_GSM208653.cel","P_GSM208654.cel","P_GSM208655.cel","P_GSM208656.cel","P_GSM208657.cel","P_GSM208658.cel","P_GSM208659.cel","P_GSM208660.cel","P_GSM208661.cel","P_GSM208662.cel","P_GSM208663.cel","P_GSM208664.cel","P_GSM208665.cel","P_GSM208666.cel","P_GSM208667.cel"
"AKAP9",64.0472865908908,63.7727407248469,60.1244718983374,49.7714803733081,50.6483472339879,63.0073226670103,87.7446144113874,43.6629958807789,64.2156235342581,64.8886052212603,58.5025820572039,67.6136580119554,66.6515696873788,72.8866209813383,73.9773302410201,61.2699322371624,67.240998200845,60.8057681829001,84.4973478630547,44.5734679748451,59.7487969053822,65.1762787403727,61.9892048466493,69.5475763484907
"BCL2",167.802420779608,315.739429927701,142.140521434953,277.161032844555,152.468256355076,199.776153444564,418.228442561072,222.819946064039,186.198353610956,243.312871803231,303.282132343269,187.652975969373,288.734087892416,151.490179442593,297.206175346768,308.289551871052,214.789190521229,256.732850530498,275.511918509226,216.804959612294,226.901113254661,319.625361651747,307.443243976178,197.156339008806
"RPS6",3925.11185311422,4589.1330984237,4295.23083793913,3222.44223873232,3962.00392744256,3295.32193255863,4827.5174844756,3015.86800870929,3499.64631102867,4266.59058671924,4454.45462846494,4095.87084128541,4178.84988551833,4398.45493919905,3749.68767839953,3848.09755355857,3046.31251885072,2735.72351494798,3513.28057842124,3395.33309842369,3571.94071695984,3464.96649234981,3644.21281999333,3865.46517560125
"PRPF3",47.1706021332933,50.5689264858044,57.0313393543946,37.302490001891,33.7060663207604,45.0133568636765,73.8927111286853,49.35156983392,37.6463311758909,65.2411839359352,78.3879054525387,48.6168494677912,59.0301294793217,40.6323503253471,39.870617751817,69.1478459507096,41.8576509476029,44.6886963930106,51.5097246281698,42.6060758899105,34.2851936305161,48.376946573932,44.6405669626776,51.1996261678462
"RPL23A",6835.80175361771,7474.52450852906,7178.51207960768,7128.25006157286,7121.70232919293,6729.48704032717,7782.08702095372,6147.54585213485,6428.57387740863,6966.21975848666,7615.94114929434,6895.63634504665,6040.84870100038,6749.18089614323,6398.44585500961,6462.99720098779,6714.20596123259,6279.69817508226,5104.82170873891,5928.79862988379,5963.19001526841,6165.04016734875,6738.33822662882,6605.56643175703
"N4BP2L2",188.053306234656,153.350857739733,91.6666683109205,85.0394336703394,111.55079976272,83.1421845116851,239.95001405145,88.7769613290094,102.183497168584,121.351102720284,159.379880737881,61.9299705737333,102.407544165065,105.590079584616,107.962388504498,128.110714896575,94.0163618696299,87.2606145074213,93.332282283305,149.769282653153,92.350566242355,86.8421006473584,87.7154026364846,131.432844553272
"TUBB",621.29463688523,528.356175346768,1011.79015333734,947.451047141639,678.051885311582,1086.11623208611,842.89124862681,1086.87668816728,1351.04327005944,655.809815256945,811.634380474972,1120.13861213327,1204.49710752778,826.59283732979,1178.2207090647,1075.69055078408,467.755793969243,675.134536859681,1356.84639444547,945.180756888161,1313.68438047497,982.712585603178,1303.8178979119,1120.86719474133
"EIF2AK2",107.191634491838,205.006826606099,160.449941482091,145.536997323073,178.596296354743,181.604507116696,174.143674156894,173.017774572117,151.489513448823,186.21561438937,224.962846139711,192.079004551102,200.020916799977,287.488191487163,231.844367489239,204.352547199199,155.121395768944,160.88569503208,299.975890420374,140.702128957518,210.324948908379,225.169649799718,296.819612032998,199.865210413054
"CBFA2T2",198.217065500357,138.308295745528,153.474739535069,151.361346062853,148.870209059848,149.44336144803,177.384895085395,160.569099164424,140.28771395157,152.052744379128,143.368618035896,150.205544328697,141.871584104932,161.051560866225,173.319775541569,136.494278826421,163.21298206953,167.93225572306,147.22032419972,143.177007256267,143.881905617257,157.026557175627,145.439548848327,131.042094082668
"HSPA6",65.8216222708925,64.627241141131,68.5751756785134,65.1112161376985,73.0103438393688,68.8712480700074,84.4560648133948,83.704954686498,71.3070974279483,70.5140817562247,78.6059281263168,56.7611459799481,76.7986324356446,65.188316634399,63.4423129185498,71.1317602226912,58.2607516582724,65.7264078207996,58.2400597620585,94.8151409932845,79.1155289620164,67.2264945735738,65.4690687373106,62.6609808183712
