"","P_GSM508710.CEL","P_GSM508711.CEL","P_GSM508712.CEL","P_GSM508713.CEL","P_GSM508714.CEL","P_GSM508715.CEL","P_GSM508716.CEL","P_GSM508718.CEL","P_GSM508728.CEL","P_GSM508731.CEL","P_GSM508732.CEL"
"RALGAPA1",92.1280346024359,87.4159747004623,65.4660373181108,66.8436423759666,70.4335935880762,61.2445113127603,92.1150960183636,62.2910643676974,67.4625155223293,62.7987847816486,69.9489016039816
"POU2F1",272.604025249327,292.820951307258,157.22476458275,329.574034765383,204.57674290572,196.985497354188,344.566266770092,148.662033348538,226.064253135116,241.583459962493,336.085678198368
"SNCA",400.712032996074,464.864427298253,517.774185598052,394.546652838194,435.194873161326,537.986683805978,308.975568655873,409.323774025445,864.283733233257,589.578311930817,292.176617947371
"CAD",95.6370717177388,112.363274136111,108.338258977872,95.8306042523494,98.7915628637503,128.852182219629,118.515737155625,119.598545938588,96.7657887772309,117.889019874583,108.677217707358
"COL18A1",176.888417397582,261.815881581904,202.063271254361,613.963366500036,528.944501944085,253.24557051796,476.345290078323,259.333781731586,135.347893269634,196.67256258364,268.044129122674
"SHC1",678.849376576558,819.353556528576,441.793298569649,624.427012772636,1442.77711399879,564.469194898082,735.491770651251,664.604032067681,585.684460384661,589.031603051016,725.06179260102
"PIAS2",179.36327966143,211.951778812422,176.263323721594,134.253408362766,197.801301172485,150.109360166247,181.450267279114,239.44542674125,158.635482047982,144.582755408438,191.773352152406
"TCF12",41.5110056401541,56.1579601035603,37.2905496248599,44.0398651027665,47.0036665539596,35.9925964423228,62.1946245152107,34.4577258994125,78.6060992374349,81.5587226277873,40.4971811460303
"SUMO1",403.593888230996,342.314891472905,450.059374881115,560.145043014723,407.169896852112,1018.69296747615,325.088433397332,584.278630979937,882.233193951123,1042.00291118436,494.607532952252
"RUNX3",176.19212918161,158.085733640224,201.923121075415,160.56852866284,214.160598030392,159.073192389981,210.268743260274,194.293426354562,184.155495233054,160.56852866284,179.031214488272
"EP300",79.7663477951626,72.955409040677,52.519344207874,71.5959837299016,50.2107226004548,71.6503548143767,71.3558676181007,56.2450641233624,127.632418891492,93.5694124072263,87.7841855069691
"SAMM50",444.042694648715,468.117047367519,696.636289870955,484.517684180944,509.514770585832,398.370075916773,444.19408229325,958.615181748013,420.35226242199,626.836743473574,423.899679248742
"TRIM28",250.077528566939,194.677274094254,341.030411878035,309.711155453963,278.524329679171,293.383909858507,307.950865418327,331.560417701481,294.263842669515,295.427915873529,164.30028791886
"PPP2R3A",232.06592414511,245.306423241475,245.579023305438,273.639138320422,238.309930560893,223.437053220899,264.483382779003,222.819098651771,235.555637820384,243.104813100937,310.378653126755
"LAMB2",102.00946576561,147.652312950619,123.254052477497,141.617750176904,188.90979426238,167.830992227044,188.889094925119,190.028128807404,109.800976610806,147.662891123728,104.261731009369
"CDC42",208.366393636082,289.889393889779,247.111806322689,81.3522887033514,87.5109390057589,254.959479247807,66.5088397919811,509.103280916052,86.5554661010753,244.657315792167,100.632408829657
"VAV3",192.943253272798,207.392757892082,220.072173246128,162.426451691734,198.317594673147,182.174344162823,175.13675949298,309.538982444228,251.959458550989,186.734341369655,153.31945452557
"MYO1B",106.250360333163,103.335446707874,116.252565539656,106.331272123618,121.78871255782,96.1342686862507,113.511517834224,103.461415179952,92.7239484580324,80.9421421743376,94.581427857949
"ABL1",328.159084496376,517.637263555095,679.067005329774,557.244436604808,633.740944459715,625.158529374104,578.805996396448,537.805794338538,771.05366984835,539.855762327798,128.715565330048
"MDH1",1348.08632506417,856.435204129388,2760.43346149774,1530.7359788159,781.540258726971,1243.39855132379,481.164623810755,2532.11847731372,2260.65017113695,3065.95293734201,309.100043765367
"AP1G2",313.974588771858,410.572563349738,155.654629881532,260.245072593652,268.863475498658,389.685128760428,371.391818411862,295.997318297095,242.264312600626,293.053932359832,412.213083221614
"CASP2",131.550790027204,101.281522289786,86.1300515550746,112.072762823079,102.833383509006,89.8842853386866,134.775784158235,84.8387388801109,81.6750180045093,79.0251056297474,113.921317037914
"DYNLT3",531.591201381369,703.284353332171,411.629552370526,319.721919563528,380.197918966339,604.490398239745,261.232891939588,500.999446231075,816.147664835095,1029.13397611703,391.888468491107
"SMYD3",167.050333989879,222.677171598853,236.165617581366,195.778760623992,173.186271598458,188.547617576173,147.626232193989,277.431604526291,199.871802325068,276.591399415355,182.826568657639
"KATNB1",343.093860277448,396.183644910154,415.684601859525,268.813604392399,424.594810222972,347.512980094562,292.988214643496,414.637157621766,186.827499458123,311.152634943104,304.037972695068
"LMO3",942.668909661782,1940.52356621736,1925.56675899328,1691.75543708214,800.25908571982,1992.77538817714,1561.08825435737,1877.43000424687,1305.7098669369,1453.56331731742,424.114097112056
"UBE2N",111.880855103753,136.271435583109,249.629107408941,147.140428445368,130.085293015899,211.875902681664,89.19514194035,221.438887233325,247.781381884411,183.390557113931,62.6034293263302
"NDUFA8",695.052442407984,572.766508307075,1261.05858752245,823.371344361738,651.444601336293,1083.33874534359,442.491507015653,1691.54507146287,931.808032622698,1789.1024624606,511.719957484362
"NUP214",319.603507947192,357.741884715384,430.802343193366,617.17851425811,336.873453422115,371.949504296503,529.426953603896,403.746033896236,342.869109085572,489.391476257138,591.027297711129
"SOX2",410.541367089301,276.667460634999,192.427303196178,642.822146488692,244.499054843967,257.975247374976,576.855500434231,410.85109903364,396.46733274959,364.61198629089,675.551209749608
"DVL3",288.445372988242,346.868549865878,436.985244987209,321.276382458508,402.436661929952,281.678705182104,326.063059945777,359.416723708736,506.879738603721,301.087543514179,204.831990910181
"ATP6V1D",865.737532942465,1165.91504082464,1593.59562942474,1127.05690619249,801.827642449881,1794.67551972733,587.219252632151,1992.19104035488,1955.17790011793,2124.206510973,399.194201536775
"NOP2",365.669489003784,539.345978003025,309.192445314713,393.2087988412,608.028191312867,417.784174652108,505.762009179086,372.536992250109,420.186215489994,428.669952972287,613.578534213755
"PKP4",940.186186695789,127.692724951762,314.620035303295,426.168952632429,376.133338157676,525.092866932272,603.298878173023,190.218732778986,425.354532424571,493.767488377749,82.3992862268872
