"","P_GSM1679692","P_GSM1679693","P_GSM1679694","P_GSM1679695","P_GSM1679696","P_GSM1679697","P_GSM1679698","P_GSM1679699","P_GSM1679700","P_GSM1679701","P_GSM1679702","P_GSM1679703","P_GSM1679704","P_GSM1679705","P_GSM1679706","P_GSM1679707","P_GSM1679708","P_GSM1679709","P_GSM1679710","P_GSM1679711","P_GSM1679712","P_GSM1679713","P_GSM1679714","P_GSM1679715","P_GSM1679716","P_GSM1679717","P_GSM1679718","P_GSM1679719","P_GSM1679720"
"BIRC2",96.9256423665244,281.552589299272,338.43707532879,290.837759025626,376.818532435804,116.44883542646,199.756080970035,151.267133525425,270.765043060901,234.320652057454,467.529672501542,385.186987447529,302.740215515734,183.073917035052,331.829318415844,327.887462147516,203.748839062651,153.723768018006,282.330825486798,474.60014196964,226.418797680064,195.127552980523,95.5540555393674,328.55301256543,62.4093893684392,303.040041422841,452.442060590147,234.494894198655,661.636112410417
"DNAJA1",71.268854681268,325.742457574942,169.218537664395,31.6558105061906,70.462002000191,94.4529442903505,13.0987594078712,101.364574011883,93.3275254805659,56.7495329201647,103.291439273596,106.92887979616,145.149418397955,88.4652485001594,94.8083766902411,112.898979640537,85.7150288470461,122.329477366441,50.6170802665574,873.466218731358,42.5484988928979,309.485094276486,422.030411965539,61.4043251639274,42.2773282818459,408.913863426218,91.5656551194344,159.456528055086,53.4361030581101
"SLC9A3R1",949.301144354489,1320.64577761004,670.436488898609,729.072885720701,841.459270263151,1093.32517705954,844.86998180769,829.63005191264,1111.86496405859,771.61058470482,1109.02387430598,1459.33618903622,960.474437170466,1232.3700589675,655.381715057143,1331.96774916335,1336.31135136952,846.563285845637,1047.21114951478,1004.73859842509,943.664921874628,1518.63616028694,2393.82816221019,1461.74192240882,1329.72263476949,1411.22831005699,622.407067478509,1259.70657163518,925.901931170525
"PTH2R",1.42537709362536,0,0.919665965567365,0,1.02118843478538,0,1.96481391118068,4.67836495439459,4.60876669039832,0,0,1.21510090677454,0,2.45736801389332,5.26713203834673,0,1.40516440732862,0,1.1248240059235,0,0,0,0,0,0,0,4.18927833879765,0.937979576794621,0
"SIRT3",1813.07966309146,1069.39481227123,803.788053905877,893.287402721565,958.89594026347,1306.81470867471,1020.39335787316,1408.18785127277,775.424995659517,1014.16907218617,562.666524464065,1267.35024576585,909.879497043179,1281.51741924536,993.230612945383,1235.88351117141,1135.37284112153,908.26930540216,1094.45375776356,494.795892691752,1275.69517216385,1014.82321611592,1133.70905478479,1019.94976473589,1129.40862695788,978.857372294699,837.855667759531,1139.64518580546,972.537075657603
"RPS10",27.0821647788818,23.988785635364,27.5899789670209,26.7095901145983,14.2966380869953,43.991782272218,23.5777669341681,32.7485546807621,26.5004084697903,37.5279169310767,101.932341388417,15.796311788069,77.9659733109014,30.7171001736665,10.5342640766935,24.0210594979865,23.8877949245866,56.293210823495,38.2440162013989,116.125566652146,82.8176139165334,122.35457215582,138.354309583042,44.6576910283109,131.865000117186,71.005197990289,20.3479233598743,32.8292851878117,66.066454690027
"CDK9",3242.73288799769,1970.8681250949,2050.85510321522,2310.87416695191,2348.73340000637,2608.45391355269,2342.05818212737,3129.04642699758,2367.75388719214,2186.68764752054,2499.381010844,2311.12192468518,2561.26516578791,2726.44981141463,2224.23461505042,2134.2711363961,2138.66022795417,2610.05637106628,2296.89062009578,1544.97493024159,2163.89508655309,2374.3184622917,2788.98399605529,2071.79788020628,3516.06446877352,2400.22928206459,1917.4925425011,2185.49241393147,1738.1306976538
"DOK1",37.0598044342593,130.044469496973,28.5096449325883,61.3331328557442,94.9705244350401,143.6202303593,73.3530526840785,141.910403616636,92.1753338079664,56.7495329201647,347.929058605798,87.4872652877669,126.902062942212,152.356816861386,76.7496382730523,108.094767740939,88.5253576617033,84.4398162352426,106.858280562732,60.587252166337,64.5825429624343,39.9851542992876,158.261404487077,0,92.6074809983292,123.62512150095,69.4223267572183,135.069059058425,118.53099223799
"CAPN3",0,21.4636503053257,2.75899789670209,0,11.2330727826392,28.4652708820234,13.7536973782647,0,13.826300071195,4.57657523549715,50.2866217516193,15.796311788069,3.31770099195325,14.7442080833599,0,1.20105297489933,0,0,1.1248240059235,111.076628971618,0,0,0,18.341551672342,0,11.4115496770107,1.1969366682279,11.2557549215355,17.4881791826542
"FOSL1",45.6120669960115,36.6144622855555,6.43766175897155,13.8494170964584,13.2754496522099,34.9346506279379,5.23950376314847,42.8850120819504,21.891641779392,7.32252037679544,14.9500767369679,23.0869172287163,44.7889633913689,30.7171001736665,20.3160807193374,13.2115827238926,30.9136169612297,24.8989201719305,21.3716561125465,15.1468130415842,14.4360978386618,9.59643703182902,79.6283796161395,10.366963988715,43.2839313361756,25.9929742643022,2.99234167056975,20.6355506894817,12.6303516319169
"ERCC4",2.85075418725072,1.26256766501916,7.35732772453892,0,5.10594217392689,0,11.1339454966905,0.779727492399098,4.60876669039832,0,2.7181957703578,0,2.48827574396494,0,0,0,0,5.41280873302837,0,0,0,0.799703085985752,0,0,0,5.07179985644922,20.9463916939883,2.81393873038386,5.82939306088473
