"","P_GSM506039_1_1364_BA9_Pm.CEL","P_GSM506040_1401_BA9_Pf.CEL","P_GSM506041_1516_BA9_Pf.CEL","P_GSM506042_1647_BA9_Pf.CEL","P_GSM506043_2515_BA9_Pf.CEL","P_GSM506044_2525_BA9_Pf.CEL","P_GSM506045_2685_BA9_Pm.CEL","P_GSM506046_2729_BA9_Pm.CEL","P_GSM506048_2977_BA9_Pm.CEL","P_GSM506059_5138_BA9_Pm.CEL","P_GSM506062_5441_BA9_Pf.CEL","P_GSM506063_5476_BA9_Pm.CEL","P_GSM506066_T72_BA9_Pm.CEL","P_GSM506068_T127_BA9_Pm.CEL"
"THAP1",76.5006091233976,75.5650475410978,72.8277793539974,78.706724355825,72.1863860229026,76.8017536155255,69.4131866737368,66.4607768050618,80.6430316475517,140.170097527817,138.319340813452,118.186134351223,65.6516887157098,82.8391654589623
"APEH",214.105157265773,160.740855159147,165.853351979822,192.112607685644,183.803027762394,163.714155511856,129.654215469459,132.238679873554,158.222384277263,157.626242965426,204.334785186592,266.739086121123,334.449827624186,159.8241507147
"TMEM33",55.7046009728038,66.7992560192971,72.9645957421979,79.6473207397345,74.7652785893418,81.7089329836364,97.1121608962131,92.0305712500596,68.7685471217212,303.739709561122,207.122727662687,176.593178087193,62.0789478177303,62.885302695844
"ZC3H4",373.891997052089,364.547299451477,284.128600351291,334.341187949165,327.838932873215,349.383816520435,376.782699942391,365.925520027438,314.501132901551,392.433836978181,395.56984569965,357.70442472587,236.702530675139,414.21926450061
"LZTR1",395.635333464529,551.607759909013,490.185642093758,310.638170438137,431.954283044844,361.752453420497,434.143661147668,348.877055925816,442.647129135539,611.803603534369,600.710496913762,664.891779597182,557.827701358114,446.17017801306
"RUVBL2",580.740232950934,495.067395383143,296.102954199893,448.514954392068,575.162850020089,473.381403107189,426.538429708039,417.617761085664,496.833800501409,234.669576435988,172.553215467985,282.363204642138,866.353396490934,367.482984863924
"CNTNAP1",1245.43539986545,1728.64282727157,1084.04222420575,864.016403745447,1361.27247224043,933.228163517626,1023.95507923723,1065.41042306951,1677.4836478679,1295.01015179131,1310.72702727611,1424.63753124021,1686.5709902984,1033.9938534262
"MARK2",123.812404171775,94.2110483306127,99.2946676132565,103.255848965579,92.3570343411368,100.100664844185,99.6453467575799,99.9316865217666,85.9241559387848,90.7584716215816,86.9277553316786,89.6166257224845,79.8055247378304,108.607952263055
"ARL4D",305.821925037275,280.700316721819,268.288709307317,288.683114586568,257.779756114691,251.68876097093,253.898424244505,177.046403345718,350.953632442315,201.891595180726,232.043342052364,236.315491345358,360.026257758838,284.095414784574
"ATG2A",404.748621909607,269.321060824773,394.162950180208,269.321060824773,293.530814908105,220.692073194986,265.275963875296,220.71497711288,271.868331127304,227.49145538303,246.924329878359,253.795790546949,329.633885163771,316.304131305098
"HDAC4",153.133305555766,202.477155560074,226.03104392866,176.19385521215,174.929572419921,135.33295799729,163.07926389794,163.735161540203,209.823124082958,991.196625335866,690.480278030448,975.185205919226,227.905511026058,190.876604402784
"BEGAIN",404.036286096275,337.67939441514,369.615472471452,190.230712284986,275.533725123255,171.119290775009,206.385633009827,235.338592772717,252.244409336822,325.303373950674,284.088126822407,286.14206653335,465.551851318371,393.810932962625
"CEP250",109.057586815482,109.057586815482,129.108424106665,111.021974341942,102.40251182072,106.975028879077,108.666040497861,102.135792459134,117.713280716315,104.047269941828,95.3355513123795,108.729183591847,110.431573130034,125.016813152877
"SART1",273.943629003543,164.497204665304,180.273612884898,225.078093637423,213.160937295312,198.110284916307,171.610589810375,162.314496112531,233.112069326976,213.385902494243,303.499716711412,347.518338307404,244.830263151779,236.585573991878
"SNRPA1",186.137565015857,321.941476994542,336.0772854543,330.299112466051,359.13543538627,294.504762244143,156.357730772838,270.278371385395,341.798922522149,1247.48627714076,1138.63443928552,1446.34490077694,377.589416937458,345.450978928705
"MYC",120.594270854609,66.3454700009505,66.4037248113509,69.7439493812346,63.4903408933641,104.884246477882,76.5088133130936,78.5294180399867,66.6061063741009,44.9632391059581,51.21722064988,49.9439799273012,65.0063482100904,61.9155905427391
"MEGF6",234.921887741292,245.931074084288,308.345214911364,333.566593438287,262.68005590302,207.549536286082,206.501600080152,247.844025122741,167.297973569687,203.501900506278,203.020346089609,192.905104300891,327.615961768241,316.531785511521
"RBBP8",151.247945225327,181.868810730799,135.290600168848,144.792380926528,155.653449034029,238.511354870481,168.105214453308,192.049435390725,150.553251343656,185.746529068795,176.702151894603,195.850184488562,106.844977819742,124.208796410565
"ATP6V1B1",49.7755514364644,49.8590185256166,55.6780740296151,52.7839106820469,42.6084524584132,44.574569074514,46.7606969754516,45.0457920814907,42.1830902132787,37.8081653174452,36.9136895226755,41.2463725397744,48.2903651359196,50.7000024183308
"RPS3",1837.57710611264,2942.11557669212,3503.27419985511,3903.83173888388,3908.54019277295,3610.69712411475,3256.8457188271,3303.28524854529,3457.19541779706,6223.76196928607,6371.13042315895,6974.7792789893,2974.66940932539,2555.52247421282
