"","P_GSM508608.CEL","P_GSM508609.CEL","P_GSM508610.CEL","P_GSM508611.CEL","P_GSM508627.CEL","P_GSM508628.CEL","P_GSM508629.CEL","P_GSM508661.CEL","P_GSM508684.CEL","P_GSM508695.CEL","P_GSM508697.CEL","P_GSM508700.CEL","P_GSM508701.CEL","P_GSM508704.CEL","P_GSM508706.CEL"
"PTP4A2",235.001580227853,341.380150417085,293.257998351936,127.723436212216,227.601877718528,410.30145991446,101.629001190758,455.943510913645,221.940303044285,132.310073248885,121.103632059556,148.535718671892,82.1848666716196,231.362995304193,145.277004769668
"NDUFB7",71.6425831486055,118.216374487416,122.276675651908,60.0832188511793,97.2937243768156,166.064638390074,36.2062541588095,117.572785996264,102.537603350525,52.4356279443931,60.2688950193874,61.5257678756936,50.7921760823267,87.3118420300833,61.1584763840512
"GNAI3",561.232327583582,639.106764829571,561.55490945603,193.983377721861,382.798774084919,298.535345490894,768.688087843913,409.26132462211,432.657666428915,2147.50333327605,1772.11259447552,727.427572724848,1762.60891461826,322.15535886719,713.62175211354
"UBE2D1",87.4605071332841,87.6913674343765,73.6284263763645,77.2767250070746,83.4450734877866,82.6638107335156,88.9017463297901,88.4336287283555,92.1195046011125,291.058434631015,192.640413525714,156.217322252601,188.088247184945,94.481161018909,91.8876170778109
"KIF5B",82.8873276020912,152.442823717342,159.57655448835,43.1552529022413,62.173764523873,110.331273049777,72.8307621870238,98.7557135808186,76.366897415145,100.816818543492,88.7195718708609,85.0391056558566,73.4172887981528,60.6121388412404,64.1953383780275
"OPRK1",75.1264271316061,79.5226521251132,77.0032421960261,74.1388203766125,73.878154227459,95.1950001726081,84.0700434496798,78.5085649534629,72.9216465597012,70.9843442990271,72.5286764717429,71.8222690303297,73.0051344668051,77.8680134253749,73.9610467047932
"RECQL5",91.9507827439908,70.9873940834923,70.9873940834923,82.3763772529021,67.5603913241334,66.2036601469213,69.2920606573527,70.8490596166078,64.4798909505086,80.1930535839068,73.9646972652781,73.298800377411,94.6564675164308,63.4057220899119,83.3841649359434
"CTSS",22.0362830907422,21.7406301364934,21.4693188820247,20.9360684994068,22.7773417123963,20.7068358339755,20.997808876581,22.2963834023012,22.8447773721066,26.6492527849448,21.2894228093993,21.128469116381,24.1387309176641,24.7133408957904,23.8359271705445
"RBL2",308.963992185423,298.314266623275,302.526548623892,158.911199034604,299.399245047562,129.28868945974,258.933035316351,290.315802135637,311.065831217715,797.906938049043,1224.84222156195,784.064834259599,1197.57610698403,286.260983797408,276.562223675207
"TNFRSF21",1003.6576479949,417.238228180867,431.036244234173,631.676154957669,489.365783059395,435.079728554941,278.121139829269,553.776440877366,442.075903023556,433.064119757946,292.536753874406,349.230754999354,655.317797945435,447.294767710249,301.335796792297
