"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"12480","4.82608696","0.01809746","0.20720721","0.0","2","8","false","AP1G1","4.5","2","0","0","0.70568562","false","0","AP1G1","1714","0.5"
"12481","4.23671498","0.08912809","0.23603193","0.0","4","7","false","CCT6A","5.5","4","0","0","0.75102192","false","0","CCT6A","8094","0.25"
"12484","3.89371981","0.14803827","0.25682382","0.04761905","7","7","false","UBE4A","6.57142857","7","0","0","0.77740617","false","0","UBE4A","22784","0.17226891"
"12996","5.90821256","0.0","0.16925593","0.0","1","10","false","CCDC40","3.0","1","0","0","0.62244519","false","0","CCDC40","0","0.0"
"12486","5.14975845","0.01710201","0.19418386","0.0","3","9","false","DYRK1B","3.66666667","3","0","0","0.68078781","false","0","DYRK1B","3274","0.33333333"
"12487","4.87439614","0.02007826","0.20515362","0.0","4","9","false","CDA","4.25","4","0","0","0.70196953","false","0","CDA","4278","0.29545455"
"12999","5.30917874","0.0","0.18835305","0.0","1","9","false","FFAR2","11.0","1","0","0","0.66852471","false","0","FFAR2","0","0.0"
"12489","5.0821256","0.00324332","0.19676806","0.0","2","9","false","TUT1","7.5","2","0","0","0.68599034","false","0","TUT1","884","0.54166667"
"12491","4.10628019","0.17363874","0.24352941","0.0","8","8","false","UBTD1","6.125","8","0","0","0.76105537","false","0","UBTD1","25560","0.15073529"
"12493","6.97584541","0.0","0.1433518","0.0","1","11","false","CDK6","5.0","1","0","0","0.54031958","false","0","CDK6","0","0.0"
"12495","4.0","0.13027323","0.25","0.0","5","8","false","ADSL","8.4","5","0","0","0.76923077","false","0","ADSL","23814","0.22424242"
"12496","3.46376812","0.44810293","0.28870293","0.0","20","7","false","CERK","3.3","20","0","0","0.81047938","false","0","CERK","79138","0.06571429"
"13008","5.31884058","0.0","0.1880109","0.0","1","10","false","LYVE1","7.0","1","0","0","0.66778149","false","0","LYVE1","0","0.0"
"12498","4.38164251","0.02193828","0.22822492","0.0","4","8","false","BPGM","7.0","4","0","0","0.73987365","false","0","BPGM","3964","0.27272727"
"13011","7.34782609","0.0","0.13609467","0.0","1","12","false","DSC1","4.0","1","0","0","0.51170569","false","0","DSC1","0","0.0"
"12500","4.29951691","0.02008473","0.23258427","0.0","3","8","false","DNM1L","10.66666667","3","0","0","0.74619101","false","0","DNM1L","6430","0.38666667"
"12502","4.4589372","0.0","0.22426869","0.0","1","8","false","GNAZ","20.0","1","0","0","0.73392791","false","0","GNAZ","0","0.0"
"12504","4.4589372","0.0","0.22426869","0.0","1","8","false","HTATSF1","20.0","1","0","0","0.73392791","false","0","HTATSF1","0","0.0"
"12506","3.93236715","0.14769381","0.25429975","0.0","8","8","false","KARS","4.875","8","0","0","0.7744333","false","0","KARS","23736","0.13839286"
"12508","4.4589372","0.0","0.22426869","0.0","1","8","false","LZTFL1","20.0","1","0","0","0.73392791","false","0","LZTFL1","0","0.0"
"12510","4.21256039","0.07405513","0.23738532","0.0","5","8","false","PCNA","5.6","5","0","0","0.75287997","false","0","PCNA","9372","0.2"
"12512","4.33333333","0.02188553","0.23076923","0.0","2","8","false","RNF111","12.5","2","0","0","0.74358974","false","0","RNF111","5106","0.52272727"
"12514","4.4589372","0.0","0.22426869","0.0","1","8","false","RTCA","20.0","1","0","0","0.73392791","false","0","RTCA","0","0.0"
"12516","4.26086957","0.01806014","0.23469388","0.0","2","8","false","SPCS2","13.5","2","0","0","0.74916388","false","0","SPCS2","6750","0.54347826"
"12518","4.30917874","0.01042289","0.23206278","0.0","2","8","false","TBK1","15.5","2","0","0","0.74544779","false","0","TBK1","5512","0.58"
"12521","6.55555556","0.01922987","0.15254237","0.0","2","10","false","DHPS","4.0","2","0","0","0.57264957","false","0","DHPS","1036","0.5"
"12522","7.5410628","0.00966184","0.1326073","0.0","2","11","false","CNTN2","1.5","2","0","0","0.49684132","false","0","CNTN2","520","0.5"
"12524","8.53623188","0.0","0.11714771","0.0","1","12","false","DPP3","2.0","1","0","0","0.42028986","false","0","DPP3","0","0.0"
"12526","5.75362319","0.04755874","0.17380353","0.0","3","10","false","NUP133","3.0","3","0","0","0.63433668","false","0","NUP133","4398","0.33333333"
"12527","6.71980676","0.0288448","0.1488138","0.0","4","11","false","CPOX","1.5","4","0","0","0.56001486","false","0","CPOX","2652","0.25"
"12529","7.71497585","0.0","0.12961803","0.0","1","12","false","PEX13","4.0","1","0","0","0.4834634","false","0","PEX13","0","0.0"
"12531","7.71497585","0.0","0.12961803","0.0","1","12","false","UBA3","4.0","1","0","0","0.4834634","false","0","UBA3","0","0.0"
"12533","5.01449275","0.00866841","0.19942197","0.0","2","9","false","CSDE1","4.5","2","0","0","0.69119287","false","0","CSDE1","1162","0.5"
"12535","5.26086957","0.02856482","0.19008264","0.0","2","9","false","NRBF2","7.0","2","0","0","0.6722408","false","0","NRBF2","9172","0.5"
"12536","6.12077295","0.02960363","0.16337806","0.0","3","10","false","DCUN1D1","2.0","3","0","0","0.60609439","false","0","DCUN1D1","9630","0.33333333"
"12538","7.09661836","0.01922987","0.14091219","0.0","2","11","false","NUP88","2.5","2","0","0","0.53102936","false","0","NUP88","6332","0.5"
"12540","5.70048309","0.01018472","0.17542373","0.0","2","9","false","TSPAN6","4.0","2","0","0","0.63842438","false","0","TSPAN6","3604","0.5"
"12542","4.99516908","0.0","0.20019342","0.0","1","9","false","DDX1","5.0","1","0","0","0.6926793","false","0","DDX1","0","0.0"
"12544","4.62318841","0.0","0.21630094","1.0","2","8","false","DNAJA3","9.0","2","0","0","0.7212932","false","0","DNAJA3","0","0.5625"
