"","P_GSM1192704_BR34_1SN.CEL","P_GSM1192705_BR34_2SN.CEL","P_GSM1192706_BR34_3SN.CEL","P_GSM1192707_BR34_4SN.CEL","P_GSM1192708_BR34_5SN.CEL","P_GSM1192709_BR34_6SN.CEL","P_GSM1192710_BR34_7SN.CEL","P_GSM1192711_BR56_1SN.CEL","P_GSM1192712_BR56_2SN.CEL","P_GSM1192713_BR56_3SN.CEL","P_GSM1192714_BR56_4SN.CEL","P_GSM1192715_BR56_5SN.CEL","P_GSM1192716_BR56_6SN.CEL","P_GSM1192717_BR56_7SN.CEL","P_GSM1192718_BR56_8SN.CEL"
"PSEN1",529.002892561208,1104.17037778333,622.809884983213,602.277108266558,611.816578668651,972.519645328604,574.471008058929,552.249757706262,730.005610829616,654.707034107113,856.828979517729,941.874872113857,888.316225212259,732.885861121638,1092.79205210795
"SMARCA5",148.757496188124,260.981396011747,202.259478463223,215.691141064508,223.002892561207,215.089849082946,173.394196909033,259.209648229978,281.849753427966,280.151391619854,237.973634304274,261.561716278172,293.814811864334,227.360635413674,279.008568720937
"ARHGEF11",360.109506934729,210.525951024404,273.674514183089,306.783670850795,294.946333122154,234.959414300338,211.440334953913,184.481153430773,199.488598796176,220.913485120287,160.959414300338,202.741786065283,202.611588213381,150.116663344244,204.523325188323
"HIST2H2BE",249.093251293052,432.119313870861,1173.78813660646,383.625756580645,386.780044512965,344.305508002583,768.594162289161,637.040404400519,383.74202299599,363.176805604686,438.180295877415,477.082329831369,554.326141290857,722.345090805168,615.877642693504
"CRYAB",3393.49948332391,6800.15228129234,14847.2158135655,5916.52463169165,6349.45707790615,6390.01329078785,9887.96265165544,8676.027829149,6711.14626585133,6845.09382487566,6628.44115484748,8385.72345333576,9846.56810995253,10407.964015106,8755.28955665695
"SAMHD1",332.773807674311,457.376822525734,694.887954605121,360.135430204744,561.828979517729,593.733227399368,494.003263302417,467.598728291573,671.205904289088,320.572662677447,730.611588213381,385.739467233461,625.537526730165,666.556987723999,820.011411228282
"HNRNPA2B1",1173.93588907168,1911.54637082208,2237.00083472316,1655.30724038729,1787.74568612611,2035.60703669579,1637.2667591999,2851.02381116794,2165.49485843336,2177.9010458366,2486.47217945004,2239.04637082208,2253.66830830595,2760.06986678774,2244.40798862707
"HIST1H1C",104.866643484989,186.131940617453,452.40168876765,115.047289385161,179.136368929476,266.524631691642,331.700475593059,167.717800587289,282.135326081475,169.961300403573,147.495849816096,327.089849082947,183.176805604686,224.261779584365,153.754091802426
"EEF1D",1237.40474226772,1833.77475280002,1630.65004494939,1683.01508009367,1488.69672448841,2099.50625091184,2694.22028386556,962.594080156277,1474.29352050163,1497.88456770894,1970.09149735399,2089.30858463561,2009.95941430034,1593.24795498126,1322.40883929269
"SOX2",207.915935904202,237.50718249211,450.491336321029,286.524631691642,274.079426649658,433.250685093096,450.117300415202,287.69582304245,458.615904015888,347.702894858213,338.867505301075,535.010840133032,393.644975642041,551.581824313098,536.144914288204
