"","P_GSM184363.CEL","P_GSM184364.CEL","P_GSM184365.CEL","P_GSM184366.CEL","P_GSM184367.CEL","P_GSM184368.CEL","P_GSM184369.CEL","P_GSM184370.CEL","P_GSM184371.CEL","P_GSM184372.CEL","P_GSM184373.CEL","P_GSM184374.CEL","P_GSM184375.CEL","P_GSM184376.CEL","P_GSM184377.CEL","P_GSM184378.CEL"
"BRAP",14.9538232978109,14.6981264349351,16.4103802084645,14.3885020563757,14.3124657443683,15.2469130866929,8.64175723717402,9.86102572906898,13.2705428800316,9.45038150943366,15.1902066281482,14.6981264349351,10.7533211266303,11.0171346735954,10.8373581539656,14.5770026838141
"PTMA",3919.46982349576,3056.89609162455,3259.2200776821,2641.6100961448,3413.6791419398,3088.56289493017,3812.1399076819,3361.17505341541,3021.55016102854,3145.13638524239,3098.19594817211,2884.38955185591,3183.79075717476,3021.55016102854,3553.275504619,3020.129614954
"MCC",94.3023506758984,59.328789807453,56.3925654121873,53.3866250148956,47.6543398542764,74.1191398018674,61.0382432023066,58.2023925381251,100.037692676566,61.6086430704366,105.822001077401,93.8998873196403,84.0463946649516,51.7437184864061,46.2380833108573,105.590582576697
"HNRNPA2B1",1907.34825049954,2042.39016102854,1534.84524781368,1381.1388839196,1912.17819783522,1605.44825299315,1660.49364742872,2070.09178942538,1767.81767906156,1270.86281000417,1743.19734395253,1832.85553920757,1838.32031049597,1724.48822735891,1647.23033837955,1526.04686277466
"BICD1",39.5049330539758,90.2710731602604,53.4970446057609,56.8650539595195,41.6922441007919,60.8895535024606,46.7144431740043,45.13666226984,53.1699222469257,43.7661738246985,74.9264002311346,50.4743436016315,45.859234860829,43.0649046745121,46.7845361059291,67.6013100988883
"EEF1D",15.7916146561936,27.2700563479383,25.3850232771147,16.7766700703665,19.535632463491,18.0676544385411,30.1295003798581,45.2517027352952,21.3822952262019,25.3036061658247,15.5501521366017,20.4026005932564,17.9489514530151,30.281602202313,16.5959014208132,29.6807241834357
"CYB5R3",818.449702403195,685.617731691324,987.925806191271,825.13826287775,1072.56170458283,1354.00016383382,1007.73223801115,1056.88483417139,1362.89612450423,1045.57541302258,1068.81788433968,998.870161028537,1006.10865036,1028.62128959468,890.515676584051,1093.28531110179
"PLOD3",420.430161028537,262.755880836071,647.790161028537,274.700458811569,390.070161028537,466.410161028537,541.570161028537,796.430161028538,307.995298698499,484.710161028537,348.886742575678,599.461279826451,389.221149433372,523.930161028537,396.514660156235,267.134968434038
"RUNDC3A",175.529136238989,248.901815295448,128.441020685088,275.258221708624,207.270161028537,216.981724155271,137.583179634827,178.870161028539,213.750161028537,174.376704030598,236.729822275703,191.169293303121,183.533779371512,189.286890800158,165.94446321745,220.6718726003
"VPS37C",161.295401698734,165.101253783377,174.693499035707,170.423736837679,212.101017286103,187.683222999998,180.879810690166,199.458029025635,180.034162836353,175.828915713606,163.783608007815,176.769011156838,184.877153179093,200.557609070967,225.590343740099,171.910161028559
"SMURF1",18.674613128915,13.772546574737,18.2385067079684,14.5626028073974,12.9259582323716,16.6122057792145,14.3553343798095,15.4474657879771,13.5972157305942,13.1920994719719,13.5985201159352,14.2231798116815,11.5839310703846,18.4950175905089,14.6016408800701,12.5558910218399
"PTPN11",44.4649498831596,34.1973429648535,34.7129966209041,29.9683267801021,21.1746643599596,24.4848523431298,29.7730657895657,28.5371130292248,24.8860950150174,24.1598840920985,33.1391894723784,37.6365523900568,31.6922470110584,27.0328329425225,24.4786760556796,24.5827661716301
"TCF12",573.642398571126,346.670161028537,421.452069316026,313.606503490619,476.743839470545,488.805709122258,596.747055977676,696.849819894299,598.693708799995,491.083166636866,397.091933091692,482.933864235043,531.970161028536,379.153657764691,677.951551660893,472.030657312997
"PDIA6",311.888577403436,231.383928404577,302.010429794864,241.964197979206,277.403005830451,435.443168520675,262.739693906495,341.837941988936,208.027418885745,183.732100635533,245.823094414037,380.265073535642,234.481565948751,240.670161028537,265.944279179284,218.046958845305
"RGS4",16.4158369200127,23.6002469193983,13.7863093688837,47.1104622272923,23.9608617297788,18.6273153010861,12.4934824153181,14.3098114478626,15.0259526559407,20.1928950923397,49.015614027941,93.8974777168153,27.5001020631026,14.5138737800001,10.2418137310913,64.6952784788488
"SHMT2",214.94278608252,208.470965339811,383.084179539052,186.400412874633,403.468198417251,232.230377376126,271.4715331385,212.972057359313,152.918193701671,211.223861527296,173.742968342953,314.671397630462,332.06484591162,371.348612368086,271.450322190644,186.161932351347
"FLT1",478.239310599715,258.522428232752,521.020269339765,114.194266553668,275.509113623137,223.8180122891,298.647969287462,233.93118330498,292.70098827164,402.458140772336,271.190161028537,407.322086534248,322.612755239697,684.649041912938,495.80475999044,212.757427486074
"IQGAP1",323.19307922828,299.228751067784,357.485738155106,156.413711540751,426.857483047853,179.750161028539,219.870161028537,276.792694007906,166.638393131714,192.982551464611,183.392308961618,266.337143600462,373.674368031918,327.311117881137,406.785116610782,155.428494891413
"TAZ",95.7399726277634,110.242576681674,103.440782759296,86.4197691815012,97.8938821131366,104.480317492411,111.838363556522,150.876138174922,111.64440069978,134.390741582567,93.3394205853843,105.043769538171,107.920648112661,127.236523294879,116.526570407511,94.789238275183
"CLK4",354.101247719167,548.234845005152,405.982005830077,182.232004621099,408.213318100148,354.291824755623,362.273835023967,296.02549889225,287.561513459651,304.970444652069,360.775976989308,364.576860863929,356.545181093667,258.934201618009,432.550161028536,261.812154046385
"METTL22",47.8068884866831,48.0041350501454,60.1565553029705,85.4200847661425,56.9850607154259,50.5870629749631,38.0695110093805,57.2436551939256,51.5629717420537,45.0965712980183,58.2897908224661,52.9107385519666,55.5174151874515,49.9405241061721,45.9455033957826,64.5139621354125
"U2AF2",197.193880478736,235.493962148543,241.237306442174,160.265378883507,221.029954613076,223.497337205988,208.402225243358,216.903219504476,233.60181742782,150.750293372854,177.348765107384,174.950161028546,197.841711754031,151.439138548827,256.940916940228,199.480170686378
"HSPH1",937.932145424107,872.444324121211,772.500576952619,1419.22373961974,952.573393952013,1757.95016102854,570.472284039269,1130.55016102854,569.748018646979,669.974397675621,709.258786481167,2286.13474949856,644.235935056653,1129.36947396464,1026.75760017585,521.154235993168
