"Gene.symbol","Cell.type","SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Stress","TopologicalCoefficient","PDMalacards","DEG"
"DYNLT1",NA,6154,3.92896175,0.00021059,0.25452017,0,2,6,"false","DYNLT1",53.5,2,0,0,0.67455981,"false",0,39616,0.50970874,FALSE,FALSE
"DYNLT3",NA,4910,3.93232451,0,0.25430251,0,1,6,"false","DYNLT3",101,1,0,0,0.67418617,"false",0,0,0,FALSE,FALSE
"DYRK1A",NA,4563,4.03993274,0,0.24752887,0,2,6,"false","DYRK1A",80,2,0,1,0.6622297,"false",0,0,0,FALSE,FALSE
"DYRK1B",NA,8077,4.03993274,0,0.24752887,0,1,6,"false","DYRK1B",80,1,0,0,0.6622297,"false",0,0,0,FALSE,FALSE
"E2F1",NA,3590,3.8343842,0.000412,0.26079807,0,2,6,"false","E2F1",95,2,0,0,0.68506842,"false",0,34312,0.51086957,FALSE,FALSE
"E2F2",NA,4290,4.03993274,0,0.24752887,0,1,6,"false","E2F2",80,1,0,0,0.6622297,"false",0,0,0,FALSE,FALSE
"E2F3",NA,3595,4.03993274,0,0.24752887,0,1,6,"false","E2F3",80,1,0,0,0.6622297,"false",0,0,0,FALSE,FALSE
"E2F4",NA,6223,4.03993274,0,0.24752887,0,2,6,"false","E2F4",80,2,0,1,0.6622297,"false",0,0,0,FALSE,FALSE
"E2F5",NA,3394,4.03993274,0,0.24752887,0,2,6,"false","E2F5",80,2,0,1,0.6622297,"false",0,0,0,FALSE,FALSE
"E2F6",NA,7968,4.14627995,0,0.24118005,0,1,7,"false","E2F6",11,1,0,0,0.65041334,"false",0,0,0,FALSE,FALSE
"ECPAS",NA,5325,4.08701135,0,0.24467757,0,1,7,"false","ECPAS",45,1,0,0,0.65699874,"false",0,0,0,FALSE,FALSE
"ECSIT",NA,3621,4.04833964,0,0.24701485,0,1,6,"false","ECSIT",63,1,0,0,0.6612956,"false",0,0,0,FALSE,FALSE
"ECT2",NA,4454,4.08743169,4.305e-05,0.24465241,0,2,6,"false","ECT2",23,2,0,0,0.65695203,"false",0,1310,0.51162791,FALSE,FALSE
"EDAR",NA,4514,3.96595208,0,0.25214626,0,1,6,"false","EDAR",62,1,0,0,0.67044977,"false",0,0,0,FALSE,FALSE
"EDARADD",NA,2813,4.35855401,0,0.22943389,0,2,7,"false","EDARADD",86,2,0,1,0.62682733,"false",0,0,0,FALSE,FALSE
"EED",NA,2951,3.67297184,0.00222046,0.2722591,0,8,6,"false","EED",49.375,8,0,0,0.70300313,"false",0,168574,0.15406051,FALSE,FALSE
"EEF1A1",NA,2720,3.65321564,0.00342854,0.27373145,0,5,6,"false","EEF1A1",65.8,5,0,0,0.70519826,"false",0,179218,0.20636943,FALSE,FALSE
"EEF1AKMT3",NA,5920,3.97477932,0,0.25158629,0,1,6,"false","EEF1AKMT3",106,1,0,0,0.66946896,"false",0,0,0,FALSE,FALSE
"EEF1D",NA,7057,5.88272383,0,0.16998928,0,1,8,"false","EEF1D",8,1,0,0,0.45747513,"false",0,0,0,FALSE,FALSE
"EEF1G",NA,5975,4.03152585,6.266e-05,0.24804504,0,2,6,"false","EEF1G",33.5,2,0,0,0.66316379,"false",0,16916,0.53278689,FALSE,FALSE
"EEF2",NA,4993,3.95039933,0.00033293,0.25313897,0,2,7,"false","EEF2",57,2,0,0,0.67217785,"false",0,7428,0.5,FALSE,FALSE
"EFHD1",NA,6111,4.13240858,0,0.24198962,0,1,7,"false","EFHD1",39,1,0,0,0.6519546,"false",0,0,0,FALSE,FALSE
"EFNA4",NA,2362,5.02690206,0.0058774,0.19892968,0,11,7,"false","EFNA4",1.125,11,0,3,0.55256644,"false",0,223328,0.125,FALSE,TRUE
"EFTUD2",NA,4103,4.1223203,0,0.24258183,0,1,7,"false","EFTUD2",28,1,0,0,0.65307552,"false",0,0,0,FALSE,FALSE
"EGFR",NA,2346,3.35308953,0.01695379,0.29823242,0.03296703,15,6,"false","EGFR",54.64285714,15,0,1,0.73854561,"false",0,1810412,0.08823529,FALSE,FALSE
"EHD1",NA,6465,3.99033207,0,0.25060571,0,1,6,"false","EHD1",81,1,0,0,0.66774088,"false",0,0,0,FALSE,FALSE
