"","P_GSM208625.cel","P_GSM208626.cel","P_GSM208627.cel","P_GSM208628.cel","P_GSM208629.cel"
"BIRC5",23.7112727339552,22.8010873515683,28.5607762275604,26.3012412992719,20.8720609307446
"FAF2",56.4457452084678,55.0662566201116,58.0907131910986,62.8461991494388,55.4453107904178
"STOML2",48.7621403526875,143.948647535463,71.4870709981348,62.0444975621892,115.587283459078
"RPL10A",420.294832784511,736.879616626288,670.62909779608,550.539967056583,607.876493155825
"RBBP4",105.862935180333,153.858968791289,205.972820538807,158.94120852559,222.973924681022
"MAP3K11",146.880436567002,114.359342862795,154.44548037337,133.76097887063,116.000447685651
"PPP2R5E",99.2228708478344,121.601411143696,90.4122682398296,101.652747839534,124.346844658966
"EIF3G",219.441006957412,326.799793966001,286.622988716737,254.26199849136,282.717803271952
"ZNF629",266.12614576484,237.71419074983,201.043524961964,250.423585732567,197.343189373836
"LAMTOR3",67.5706633905416,87.6249107533342,97.8181595350101,82.2547107863292,145.51595565408
"REC8",128.065600794623,108.44918961547,113.257681448167,135.855165965203,108.715726978123
"STAMBP",98.7692390004622,139.072137678135,142.953765733347,136.414614502778,140.921406133745
"HELZ",211.892509876393,193.54366650061,215.5743997993,233.26498917778,191.603202818099
"GIPC1",272.791640461389,212.486283538859,249.317289886185,251.40715364081,166.45372152049
"PADI4",18.8702539266446,17.9711454719456,17.2939003083719,21.3254527587103,13.4287652400337
"IRS1",29.0638231672591,32.9093403982785,20.2813659776242,27.7120479412202,36.3130535414612
"PEX12",45.0104039777982,60.2115301172585,75.5343881542958,63.3470735113249,66.0076582923144
"TAF1A",9.81945716314231,10.3136472974467,9.73159152661532,9.2218598150214,10.8306907851598
"TELO2",78.6295757881115,88.2119407672088,78.9993598976141,80.9303664472173,79.0958776793409
"POT1",25.0805124492151,28.0086649829938,28.8074721899961,24.7872032330712,34.1633550959043
"DPP3",52.2101273085212,50.1565352816481,72.2590236540403,52.9160949769668,59.3165683433479
