"","GSM503958_PD_1364_SNc.CEL","GSM503959_PD_1401_SNc.CEL","GSM503960_PD_1647_SNc.CEL","GSM503961_PD_2515p_SNc.CEL","GSM503962_PD_2525_SNc.CEL","GSM503963_PD_3769p_SNc.CEL","GSM503964_PD_3790p_SNc.CEL","GSM503965_PD_3803p_SNc.CEL","GSM503966_PD_5138_SNc.CEL","GSM503967_PD_5476_SNc.CEL"
"HDAC6",14.8370356808988,4.1585963204579,12.3964131535222,19.7948088448313,8.60096599364012,24.9744058923983,13.7249795468124,12.2932365547866,6.92356503950214,11.0164685926989
"MAPK1",6.80361017113448,7.3715763570571,4.82067087925107,4.17376832197912,4.45605576965079,7.24719999794431,6.66223866987726,7.89172770674271,3.89655389009806,3.31678157735552
"TCEA2",3.91261608890048,2.96654097041502,5.13297495170473,14.5738037617774,3.46814308451303,5.32219588363256,6.09706184790261,9.23766022838184,2.98493136612911,3.70271439915053
"LAMP2",15.4399578354727,14.6547455197283,18.2701556232048,20.7937974393706,14.2414011498581,4.76098991547139,9.9350242919411,14.5123265290642,34.1078903262791,57.2694796830336
"ISCU",7.11858766671036,7.54747444901792,26.0128058839354,37.5489389308938,7.41635201348383,7.4769122137785,11.1455870655226,81.5742595556651,44.5848041992613,37.5597936827
"CAMK2A",14.7924952682806,7.9107212213989,13.9636132892144,44.4979913236853,15.4988291182794,17.1474558086774,14.394262225476,15.2794974423179,17.0146891950675,15.3487075662884
"HMG20A",8.0773646216955,9.50530336251512,11.8657746580447,6.01689597479329,7.07301665683555,6.6909121271138,4.78698282454342,5.75973484331029,6.41929120666187,11.0571580955085
"ZNF175",8.7617757015439,16.5298895612016,12.4822366583736,17.9667407090529,7.04951293466467,11.1793926625199,10.3299904976761,20.1872714138544,16.8156854910785,12.200781134121
"PPIH",5.38436660053293,3.7825745216262,9.71949757347995,10.5883625125907,6.99671211152411,9.1831667298024,10.5530670328829,7.11337499425077,6.18304291305279,8.23239711963216
"HSPB1",19.0780847199151,4.1379693757853,130.341234965627,51.7643442541496,223.150061950744,51.5139166291835,146.110603687118,323.048014790261,833.551159880892,298.298370244676
"PPARD",11.6614180593518,8.16257439117482,30.0213276304098,36.2551859238986,25.7731224922321,70.3546090832541,64.0845083918508,25.4439901418221,15.4181507149726,13.9733280046589
"TMEM208",3.3839536865592,7.03397871714526,4.43563558246719,6.71138191161817,5.28001120793708,6.03589073423493,4.91512690128325,6.63323184501392,6.58449907658895,5.34096385993402
"INHA",12.8268944941273,7.03397871714526,3.74197899761061,5.3623621323671,4.41540027433849,13.0240661822005,8.45123120978452,5.82800611389983,3.03233767228285,3.20283088224719
"PRKACA",4.5041391940301,3.23295297779506,2.81476557356226,3.10449537665353,3.52043865949832,3.59245551023834,3.99408446884501,5.60089584627758,2.51927075174406,2.41440298890388
"TEK",4.94517448370864,4.76471334498575,3.13147912470224,10.0579382605968,5.26359967685763,6.72321138080518,6.94082690318451,4.14968700767603,4.29613453518798,3.43898526527261
"UBE4B",3.83743837866486,2.84753084212406,5.13319946026444,9.41461980630554,4.99568188244481,5.56425706507118,4.66081484508093,9.46731483579242,4.44851708555946,3.83635118296499
"LRCH4",5.56708482021504,4.26749317625383,10.6513748338535,14.891918828277,5.1247079831895,27.3976077459903,16.2443010669109,15.1243156855335,4.91998085791865,4.99420457411531
"MYOG",7.42798525155539,5.81131624842992,6.15768471442626,20.1603260379019,5.48337072130571,17.7855486916251,11.1351839615931,6.6405692934439,5.76946273542819,5.99031781579287
"ERBB2",2.76647694544055,3.49235354594882,3.60068697773558,4.27313549584972,5.85811934186679,10.0761698120436,8.49666283493094,7.78218720817811,2.99189889870584,2.46263191655913
