"","P_DMNV_GSM488119.CEL","P_DMNV_GSM488121.CEL","P_DMNV_GSM488123.CEL","P_DMNV_GSM488125.CEL","P_DMNV_GSM488127.CEL","P_DMNV_GSM488129.CEL"
"MSX2",28.700627947179,24.4664658147972,16.7523255106419,19.3590995161309,21.3375740818963,19.5476045544156
"OPRK1",25.9110718046202,27.7649258665367,18.7586760305153,22.086000199576,26.7043878922843,28.0967804212755
"PBX1",117.704120463582,36.5872833314808,102.899437799461,101.351265586778,48.8395768560237,43.7666075384051
"PCK1",19.9268395530804,16.3025492606161,282.461085096598,49.8223684691994,18.3977358175073,17.8052430365562
"ATG10",28.0388400937016,20.1827068218708,19.3184434836204,19.5723730682064,24.3387593938167,61.1542642633105
"SRM",183.106230472122,70.0280601353754,108.389368287744,50.2877309658087,62.5025183851643,35.9516014408366
"TROAP",52.6828435057313,102.725393096044,62.8846188249892,59.8346382987347,98.369279454235,69.1381430964341
"CSE1L",93.3237394993172,36.0206756373385,127.149429718168,185.340101883687,58.7347223310212,22.6184931160458
"PLXNB3",44.0226910535377,46.3033296153957,119.466314182794,41.8773912114333,55.2056284242101,49.2786520452152
"CYB5R3",1199.74133409969,467.53059059945,858.384383230282,731.404688951835,793.191551763448,416.904114839767
"FOXG1",18.0764187920913,19.5832527359873,14.9940063723753,18.4380024550225,25.3668096813876,32.139406844725
"ARHGDIB",143.0131909099,54.2480692592958,236.141624445794,131.654249648301,132.378893097727,92.48791539709
"LZTR1",163.772395657278,153.488389312524,104.64786043593,114.602880398776,144.026626357014,130.879797227375
"PPP2R5C",36.0267977233775,62.9446631175293,36.0925608570377,68.9071894608443,189.39245905549,37.5595506878042
"PML",20.3520668240138,17.0493093559522,15.9366500463923,18.2595168755125,16.4424621345829,18.8132793986332
"TAF12",18.9326862652961,21.3088968807633,19.607885538652,17.6628264422874,19.0766200529346,19.9928518015648
"RNPS1",613.29266391193,568.95982615516,414.914153970216,524.402449744545,271.739294905552,473.343757227564
"RBBP9",15.5766265948178,21.0586650176147,15.9592758660525,15.8325803674083,29.1788568726159,22.7097879472417
"GTF2A1",26.8278082811964,47.7525649281505,25.1130392276312,31.2809975412556,31.3413347329528,46.8233166705147
"UBE2W",13.4634760214877,19.1168652893605,23.0826304855351,22.2217268907829,21.1292937337695,25.4873933315282
"FLCN",68.0379565846903,48.5103413164457,58.0987115340749,44.3468357977495,41.9288622641638,104.934977246879
"STRN3",14.9078943245153,18.6013014547688,15.023457958475,17.3149502712415,16.0207461528461,18.3569215920958
"THAP1",19.4396985263349,19.2485032896413,23.4236396073573,24.8768129356962,25.5831730513208,26.4353797597459
"MET",14.314138518516,14.3692826418432,12.9716535831196,14.6747012537742,15.6514765191922,17.5467990502089
"PIK3C3",46.4133796978924,39.9836791271564,51.5956330283456,48.4604345039251,69.0388367060491,19.5476045544156
"CD2BP2",169.443860302506,169.71198937931,136.124920778766,114.080077641402,145.515327076462,100.396962983871
"EXTL3",22.1140225442346,25.2723973317622,18.1549921059672,28.9870372338307,41.3951039665056,21.795370490753
"ITGB4",20.9217910331939,42.350416886531,21.2197271868703,26.7419746800835,35.6103911528995,51.8071119452282
"SEC24B",39.3071045414546,16.1292658055476,47.3483360271346,50.8188108791732,35.7865674200355,19.5113996218098
"RBBP8",59.5385363060472,18.3601189399579,47.2388356404462,50.0397091653068,18.989699157111,47.3890026756297
"TFDP2",22.6838083609118,82.3698814894379,22.7109764573464,23.8537012044296,22.3128521307123,32.0794529842539
"TPPP",115.310655023562,225.932601945395,169.558481216628,148.858248425465,179.798577556456,119.196351651676
"PELO",37.2689791556359,25.5468163557237,25.1375601340507,23.7200519703341,32.3338504304166,24.2197360877111
"RIPK1",20.8455805646723,19.0509722902742,16.6952311783996,15.0582910004769,22.7907874094954,19.3257434552483
"CDC37",74.0221423727497,49.8604095690235,122.43004348715,50.6408870216465,49.6761295265688,56.8023596763105
"SETDB1",45.9974764055187,70.0640496990798,28.9598680866242,37.3834812463745,46.9279429301356,48.6770237869635
"KCNH1",18.7401464010224,23.6991374351136,18.1788649367043,17.0178740434765,29.0551238633175,22.4826142013538
"FAM193B",174.116631849101,94.8086642522519,119.956964233885,83.329224532867,117.223384616376,161.586914377791
"APEH",59.8236941145945,36.783853134464,47.2782908232549,29.0990500553885,37.0103827207156,24.7524634466387
"ACTN1",133.53691903389,70.6074492010016,160.560636035599,409.969292659791,190.884607211232,48.4228087426481
"BTG3",15.8885957366423,17.9992700010004,14.5770694548715,19.8525912148462,18.3410715386797,106.315249726112
"PPP2R5E",41.6294105874893,37.8304823594008,65.3505636907579,86.1915474615508,37.3919115858509,111.407234083856
"STUB1",581.119938193533,46.5092681517161,344.562698952638,126.097220478148,60.3906778192431,153.996224390295
"ADRM1",262.683680292914,113.806918602604,146.572661933792,105.665812442645,97.749203157189,81.994690835352
"RACGAP1",19.9268266167839,15.1319000448506,33.1950980536431,38.6426214979965,23.7849473387995,20.5923454753546
"DAZAP2",22.2310722266082,27.1435066004675,62.9108755551639,32.6927630488109,40.709046943716,27.2841370073095
