"SrNo","V1","V2"
23718,"Q13151","Q99729"
23729,"Q13151","Q546Y9"
23733,"P08133","P20648"
23739,"P05023","P20648"
23750,"A0A024QZR5","P25786"
23754,"Q13151","Q13409"
23756,"P11137","Q13151"
23757,"O00232","Q13151"
23759,"Q13151","Q9UNM6"
23760,"A4D105","Q13151"
23781,"A0A024RB45","O95379"
23791,"Q13151","Q99496"
23840,"A0A024R3Z2","Q13151"
23862,"P28749","Q15329"
23873,"P10451","P46821"
23886,"P34932","Q6NYC1"
23947,"A0A024R7L5","Q96CS7"
23982,"O75604","P51787"
24159,"O75937","Q9UQ35"
24284,"Q14204","Q96IP4"
24384,"P05129","Q9C035"
24522,"P34932","P51787"
24625,"Q14204","Q9Y6G9"
24710,"O43172","U3KQK1"
24863,"Q9NX20","Q9P015"
24879,"Q06265","Q9NQT4"
24910,"P30041","P40925"
24991,"P62333","Q99460"
25014,"P23258","P50990"
25020,"O00159","Q9Y2K6"
25041,"Q13151","Q9Y6G9"
25199,"P50990","Q00005"
25319,"E9PAU2","P23258"
25360,"Q06265","Q9NYS3"
25424,"Q8TEB1","Q9UNS2"
25460,"A0A024R319","P28749"
25515,"P54274","Q9NQC3"
25534,"O43172","P55769"
25600,"P49411","Q00005"
25749,"Q7Z2W4","Q96GD4"
25813,"A0A024R475","O43172"
25827,"O00264","O15503"
25835,"O43172","Q86TB9"
25838,"O43172","P09661"
25840,"O43172","P56134"
25846,"A0A024R8Y7","O43172"
25849,"O43172","Q9Y3H6"
25850,"A8K513","O43172"
25854,"O43526","P51787"
25959,"P55317","Q6UXD5"
26031,"O43541","Q53T26"
26056,"Q6NYC1","Q6ZN18"
26098,"O15205","Q6ZNE5"
26214,"P82650","Q86VP6"
26258,"Q5SSJ5","Q86VP6"
26303,"P40227","Q00005"
26365,"Q6ZNE5","Q99496"
26372,"A0A024RAG3","Q6ZNE5"
26425,"Q13151","Q86VP6"
26496,"Q7Z2W4","Q86VP6"
26502,"Q13111","Q6ZNE5"
26537,"P31040","Q86VP6"
26597,"P15927","Q14527"
26629,"P05067","Q9BTT6"
26659,"O60568","Q14204"
26667,"A3RJH1","Q14204"
26696,"B7Z647","Q9BTT6"
26703,"Q8IY92","Q9BTT6"
26775,"Q7Z2W4","Q9H9Z2"
26838,"Q14527","Q9NTX7"
26873,"P49591","P54274"
26874,"P49591","Q9NUX5"
26896,"P26639","P49591"
26897,"O43716","P49591"
26951,"P21283","P49591"
26952,"P49591","Q14247"
26954,"P49591","Q96G46"
26955,"P49591","Q9BQ52"
26957,"P42224","P49591"
26986,"P25786","Q9UM47"
26988,"P05412","P49591"
27016,"Q99460","Q9Y3C5"
27018,"P01106","P49591"
27036,"P25786","P25788"
27073,"Q16531","Q9NQC3"
27135,"Q6NYC1","Q8N0S6"
27151,"Q06265","Q9H444"
27171,"O76021","Q5SSJ5"
27208,"P41161","Q6UXD5"
27228,"P11047","P23258"
27248,"Q13098","Q9UNS2"
27337,"P17980","P25786"
27385,"P25685","Q16665"
27392,"P05161","P25685"
27396,"H6UYS5","P25685"
27398,"P25685","P42858"
27419,"A0A024R3E3","Q14151"
27465,"H6UYS5","P08133"
27474,"P25685","P55017"
27486,"P25685","P30566"
27489,"Q14151","Q14161"
27494,"P25685","Q16555"
27495,"P25685","P57081"
27496,"P25685","Q9UHD9"
27499,"P25685","Q9UIA9"
27509,"P25685","Q00987"
27527,"P25685","Q99933"
27528,"O95816","P25685"
27531,"P49674","Q96C92"
27540,"P25685","P26651"
27546,"P55854","Q14151"
27549,"P17066","P25685"
27553,"E9PJK2","Q14151"
27555,"P25685","Q96CS3"
27556,"P35226","Q14151"
27570,"P25685","Q86U55"
27588,"G5EA09","Q96C92"
27608,"P25685","Q53HF2"
27635,"A0A024R730","P25685"
27835,"A8MQT7","Q96C92"
27858,"E9PLD1","Q00169"
27876,"P19634","P46934"
27897,"Q14011","Q99567"
27900,"P62714","Q00005"
27922,"O15354","P25685"
27923,"O60260","P25685"
27939,"Q6ZNE5","Q99570"
27986,"Q9Y2K1","Q9Y4B5"
27991,"Q14527","Q93009"
28017,"Q96L34","Q9Y4B5"
28029,"Q53G92","Q9Y4B5"
28045,"Q96C92","Q9BXS5"
28047,"Q96C92","Q9UHQ7"
28072,"O00429","Q6NYC1"
28181,"Q13158","Q7Z434"
28242,"B3KWV4","Q96C92"
28277,"P55854","Q96C92"
28321,"Q14204","Q8WXB1"
28404,"Q14151","Q9H492"
28425,"P17948","P46934"
28451,"P15927","Q13151"
28453,"P25786","Q8IY31"
28574,"O75376","Q14151"
28577,"Q14151","Q9NS56"
28619,"F5GXF0","P28749"
28620,"G5E962","P28749"
28621,"A0A024RDV3","P28749"
28622,"C6EMX8","P28749"
28623,"P28749","Q01094"
28624,"P28749","P78396"
28625,"P28749","Q13107"
28626,"O00716","P28749"
28627,"P28749","Q7Z3G2"
28649,"B2R4R0","Q6NYC1"
28756,"P06748","P46821"
28923,"O00159","P29353"
28949,"P17948","P29353"
28981,"B7Z2P9","P51787"
29095,"Q9NQC3","Q9NUX5"
29174,"B2R491","P23258"
29203,"A0A024R475","P05023"
29234,"P05023","Q9NR20"
29239,"O95793","P05023"
29346,"Q7Z434","Q9BQ95"
29408,"P21580","Q9C035"
29493,"Q13641","Q5SSJ5"
29503,"D3DPA4","O43541"
29581,"Q96CS7","Q9NSB4"
29608,"B4DJ51","Q13023"
29609,"Q13023","Q99459"
29610,"C4P096","Q13023"
29680,"P20930","P23258"
29796,"Q00005","Q9ULJ3"
29888,"O00268","P35712"
29920,"A0A024RB77","P05023"
29924,"O15205","P05023"
29931,"P19634","Q9UK32"
29941,"A0A024QZB8","P05023"
29945,"P05023","Q8NE63"
29964,"Q8WVM8","Q96AG3"
29971,"Q6IAA8","Q96AG3"
29979,"O14964","P05023"
29988,"P25786","P85037"
30159,"O15247","P0DI81"
30215,"P61077","Q9C035"
30232,"A0A0A6YYC3","Q6NYC1"
30249,"Q6NYC1","Q86U06"
30283,"O00264","P11441"
30289,"P11441","P13674"
30399,"O00264","Q15005"
30425,"A0A024R730","Q13023"
30469,"Q6NYC1","Q96NE9"
