"","GSM571695","GSM571696","GSM571697","GSM571698","GSM571699","GSM571705","GSM571706","GSM571707"
"LINC00221",23.3706183343372,20.1386071456214,23.5997062976242,23.4089610461799,19.2949312728464,22.1091246250379,22.0762924899801,19.5461559187159
"MCL1",125.363191209746,93.2833050910836,151.057080616836,105.193736845171,101.991633445956,95.2810231387274,161.309768860836,108.883383990826
"ARL13A",6.29924096620849,6.32603702640832,6.38835285088169,5.57923763103695,5.38258799542969,7.14434128692936,5.66949014496803,5.80842089909676
"POLR2G",87.6969036110938,109.982639081516,138.071237149215,90.2855374236884,105.260547956646,117.826725609019,104.08800404592,104.772697012256
"LINC01299",18.6079729551762,21.7637159631361,21.4851210447003,19.0732527957255,20.6991984905697,33.1834734067409,16.65581448766,17.2726196435759
"LOC105377094",32.4613478690764,24.3770391353099,17.0679750309991,23.7239938862312,18.7272479529196,23.8137678677455,23.8060771060336,18.0305187556332
"LOXL2",103.089958264361,69.8689715847916,70.4966599109126,78.7378819831933,64.916935867784,76.9380841423706,75.2228988921922,68.9918001972776
"HACD2",62.696195688914,109.130231091536,165.129034478048,152.191924564812,220.121308559821,165.034289844814,104.287974549474,158.756296265962
"FAM71F1",50.4873482671935,50.0192319549025,46.1633814627927,44.945008600128,40.8638718294821,45.2751024297717,47.549095742285,42.2246043576575
"LOC284242",85.0327092727454,72.1002821468851,62.7395379816189,85.7530452580528,65.3574594692661,78.7090160739823,58.0567939657489,78.1013726942713
"LOC105379314",25.3517599634185,20.6784049346845,26.0485470823541,22.515599714527,24.214142360699,26.2443507038077,25.9535323184057,21.4561005770889
"LIPA",58.9382369536378,165.214900838882,218.420127943679,91.0833847907942,140.340441897743,172.342176667264,105.680325130632,79.3969124226829
"LRRC75B",127.009182993292,130.431000853145,120.246492329012,123.832569422299,96.34908095243,119.42176614705,130.795219337668,118.544342338408
"TSEN15",33.3795823847333,42.8293239582748,55.2963749474853,38.2925810261701,55.3966949355247,48.8316966514523,38.9092428092569,40.0683445501894
"DERL3",110.16117175468,102.279556519048,86.5864878878942,98.2223204006375,72.1858419923372,102.497151066531,101.194214496043,86.0328067398734
"ST3GAL5",53.9906619545499,86.4429858226895,116.139506609393,104.013501521141,143.468678726585,98.1484106006614,65.813972510614,114.286168379841
"HIST1H3H",48.3477551529437,41.0609186527709,38.8144247201156,45.9423579970505,27.7598140712207,31.1605544745586,56.00128397614,41.1197332367158
"KLK8",82.6690269133902,71.0440045739068,63.0027981721977,74.981459366212,66.6185477853611,71.8206597173272,84.424451730702,66.082437614104
"ESPL1",56.8586917653786,46.4368111640976,41.1780041271576,50.0703626670273,36.8069933473219,47.6561334823211,41.6687812830289,43.350508163525
"LOC105370561",10.5394304438531,11.9961702739286,8.82979534621305,12.0822480032642,7.73999696145035,11.6845397267875,11.445820643731,8.64341241410192
"SCGB1D2",8.14481539528488,18.8727009155483,28.1115870736817,10.9866755257348,15.9091957442214,16.3465015437894,25.7531499747626,6.0783384151032
"RASL11B",90.6356678116671,84.96666299085,73.4897429377477,86.2441681738287,66.8080942321901,66.6726885829674,92.6068495848758,74.3791832066154
"HCFC2",82.048212587809,118.13781303898,156.408596745681,97.7519108959789,123.13704136727,109.83332158737,102.350617769203,112.752921118065
"LOC105370784",12.3488261152418,11.1344161106887,10.9378099897474,17.0966173036739,13.8510553667771,9.86505435494236,10.9031795098497,23.4666337603993
"LOC100506557",65.3886349112963,61.6297058402654,38.6403966864809,86.877458845359,74.0669487354908,48.8856116974934,76.3596719681313,78.7603163013349
"LINC01121",28.4896896350005,24.5329190822682,21.4526207561686,25.5004358406195,24.0270063224388,24.8721100484213,24.0867192756349,22.90759345606
"GSTZ1",88.2969684045489,76.9249129041323,70.0375639674039,72.2016549145234,66.0131254384746,78.718182172335,70.7315023685548,66.9667941705726
"SCML2",17.9607040630787,19.7792113770703,18.8421801798288,17.0414123217239,18.752304546292,19.6781133089454,19.4303232875047,17.9406592550436
"RPL36AP40",5.56284150001106,4.25284418880191,5.05629627119988,4.61012541939801,4.41891751035784,4.65436063571542,3.9931907791925,5.24267821912848
"EEF2KMT",544.787956441386,344.087816584394,461.141597373468,297.13464116315,302.661005138423,413.819838686329,439.564175151899,341.104505315876
"LOC101927339",34.4078776201128,21.9348509805871,18.1620607305715,34.114401478817,24.1038718039052,23.1614392507135,35.6702890141649,17.5230013907128
"LOC100132813",131.129911495192,110.345042154406,89.7920616815669,124.77006221721,93.5235637349156,117.867486617893,120.128112395617,100.944675148246
"TMEM39B",103.12354829707,109.814595042318,96.2003341456855,98.4278038507176,115.436047655052,102.812865684127,98.313797802377,123.554693032039
"TJP2",160.939874212671,184.803721601175,244.616345646783,149.691656437082,177.890049043192,253.643960722563,198.578414497068,99.5178905280213
"TTC4",55.6150716390044,71.9145108137551,111.218733231962,78.049040967857,95.0716965246796,69.5450053250749,71.7734318610817,90.1054834438641
"NPAS1",128.191962578278,128.16228814365,98.3866046029208,109.782097603698,88.5819591334409,116.592162382938,133.523234665276,94.329753985196
"EBF4",204.891737936761,190.943632472216,151.388520241977,173.231322301735,140.999085957934,187.427521380933,178.474605150936,164.685759577612
