,GSM503950_C_1074p_SNc.CEL,GSM503951_C_1271p_SNc.CEL,GSM503952_C_2829_SNc.CEL,GSM503953_C_3132p_SNc.CEL,GSM503954_C_3397_SNc.CEL,GSM503955_C_3543_SNc.CEL,GSM503956_C_3603_SNc.CEL,GSM503957_C_5220_SNc.CEL,GSM503958_PD_1364_SNc.CEL,GSM503959_PD_1401_SNc.CEL,GSM503960_PD_1647_SNc.CEL,GSM503961_PD_2515p_SNc.CEL,GSM503962_PD_2525_SNc.CEL,GSM503963_PD_3769p_SNc.CEL,GSM503964_PD_3790p_SNc.CEL,GSM503965_PD_3803p_SNc.CEL,GSM503966_PD_5138_SNc.CEL,GSM503967_PD_5476_SNc.CEL
EIF5B,25.8204941399402,13.7399712963915,30.547333603938,10.7744016305585,21.7244829666626,9.5719589706409,8.80486769607916,41.8149990966475,6.13507393930126,8.44662078355254,5.97957152551353,6.77135384384057,7.42876735991963,5.07609158395039,3.89926957598251,7.7043857681876,14.1461413159148,10.5431322497868
FAM188A,18.3830433978477,21.2773390513341,5.01090438794933,7.61839117574558,3.63153556132911,7.52569004555982,4.28140451053282,12.8066544905256,2.86683552165871,3.52884114504436,2.84723090114996,4.19817353405843,4.17359537911465,2.71011830000368,2.49120266572713,5.08488224847574,2.78972915909294,3.980914226085
TRAPPC11,14.5001179389693,14.8492298509614,4.30244315216893,8.32788434877462,3.25767582808993,7.31706595598816,3.87035782393285,13.5196029015496,2.80721943176831,3.66254923891924,2.95944553260835,2.99588938508743,2.3968000201012,2.12829173236661,2.10941869813782,3.41691983338705,3.15812486683647,6.35712671789608
MOSPD2,17.1299284339824,13.9712735683811,13.2899357216118,6.91175791869692,9.7878102372753,24.5806377011944,33.0840691805739,58.366897442022,5.01122868246162,12.1955928498919,6.28815231418708,4.50084024802551,7.00303727415046,4.62990560920941,4.10342118189384,5.6189215026207,10.9410241891911,9.91985812068853
TMEM40,5.41936253468249,7.34871553409379,8.50885200715913,8.31237071228048,7.03397871714526,7.475483820974,14.1500056625417,10.1094275994107,20.0778369118157,16.1616520564539,18.0654214882549,11.9279785693127,15.2352155243513,23.9157673885781,18.9407155112621,13.8265012002579,11.1455870655226,9.08123998451139
RPS6KC1,78.1341201581625,76.1381458515488,37.5851176384867,51.5287759482134,45.4190613702793,51.5245589783057,21.5065374739336,55.7042899855341,24.404967464079,19.56432106354,16.8424809046337,19.2331807659634,17.761050995222,10.5797073641774,11.0704629531964,22.9542476087769,30.6038588642426,58.0574662977444
PMPCB,49.1003617886671,49.521773521156,11.4183497480356,37.3712701365311,10.9791921000696,26.4771733005857,11.357200470169,35.4651751570999,13.0006003629174,4.54636637789721,7.26908573740101,4.9506454522913,4.20472205912688,3.40439342277818,3.75209895210778,13.307678439536,16.9759086830629,17.5658648409904
TRAPPC13,7.77217841844014,8.4339041050665,7.22769525391682,4.16056931187738,16.7584677668037,7.33112472755598,2.93418262473131,23.638917666675,3.66753645816963,4.92297695118041,2.89113701066356,3.03495139296912,2.65001945759477,2.14998119260572,2.31914063716006,3.86584790006003,2.97234161160651,4.56190468550576
PTPRD,10.4427846937462,8.87290677117301,12.6555156536418,31.3090237995939,3.57022779323308,12.500332258559,10.9073697944508,27.6323802315539,7.91966401087591,5.23678683849571,3.88217129236485,6.75265047965408,2.25629511457732,2.93268340242048,2.49461019564998,4.05979298523191,4.19958014757774,7.90805859094257
CACNA1A ,14.348309035576,14.2351494138478,9.0105053784817,18.4605476196591,3.54112582718139,15.6790282375698,11.1865437761802,8.61565445298734,36.8104652482265,7.37298307436301,51.1770120554776,42.9158884556643,30.781334732788,85.593945505346,71.4420095424483,36.8340317165715,25.3751645956362,18.400141168042
ENPP4,61.1879605470648,43.7988277606583,10.6982431727253,28.0047051041117,16.7209746228423,32.9493147331355,23.7416738451128,109.224987767881,7.41277242362701,13.0901462118309,9.1155311743101,21.3411112962124,14.8407716884163,11.8355532300783,8.78580726332197,8.53717273431338,9.29147534504875,19.2194538142786
MUT,91.5381503104188,91.3620409039665,14.4190476733669,74.4080060987793,31.2891765578536,40.004355595964,75.4224867451267,38.2215703858684,24.8869175190556,12.6441527729189,12.9647164751947,23.5251870535359,7.87291958369447,7.24446779067004,11.7913600704304,10.8262834165568,44.2451178978271,31.5588084859685
ANAPC5,81.8696623385018,59.8091067658699,15.8779000435411,37.0362320240882,20.9260550701869,41.4122951607181,34.3892924556499,201.89514817232,17.4255911991989,12.487203561894,27.9590148253259,11.2390824630342,8.49041529255216,9.09612175466078,7.52537192932611,19.4206521826019,12.4179024359771,32.4762465823737
