"","GSM850449","GSM850450","GSM850451","GSM850452","GSM850457","GSM850458"
"FAM71A",85.3568481676846,79.8530163725094,93.7763355766636,72.0575652342979,94.2540038933777,80.9047779205933
"MCEMP1",64.4445298269775,40.2640391328762,60.5984505251323,62.0361392699185,63.2488787754641,57.0413412464074
"MGP",46.9649640580057,34.7315285342501,42.4364479922779,44.6572652476254,46.7967034833182,42.3280464226422
"MOK",62.2961456789283,81.7640639636689,69.8938203260234,67.4584843832031,64.6785755130791,67.6099652254094
"RPS26P31",31.1152730188964,22.5899003261275,26.6108373033347,15.8808034631594,21.2279624974054,21.73214992714
"SLC2A1",541.623678025158,376.475455360491,425.658904281645,534.196235848076,442.992050622863,426.814683756349
"LOC105371347",40.3955928850358,37.548958838997,46.5271528044035,36.207884938187,39.7754404198234,35.837820586246
"LOC401312",14.8904350471924,12.0379514646104,14.2428010928993,11.2623032689209,16.8226490677077,11.5638748873777
"CRNN",102.393902785141,86.5152168265292,104.85101375394,85.7131112277105,92.3918698388339,86.264734912016
"SMIM5",102.54895640478,88.7976751413918,92.2773712024191,84.4479794739121,103.548941796912,90.8428460260308
"UBXN2B",42.2047654069352,73.3811698883114,54.3813476950849,65.9517026338348,48.9481693747439,58.36954835357
"ARL6IP5",240.666245258535,483.490254499422,378.375797345554,854.076802971598,512.762518986983,491.9602699733
"SYTL3",64.373945959956,60.643831445806,64.8324864956422,55.6357765361195,67.9411154823767,61.4954173738424
"RERE",300.049143204607,317.25256101166,267.219781492533,330.257382204462,289.655650772322,283.686364827981
"SEMA6B",300.72062318995,306.662085874764,318.420188850439,310.582342399593,277.733616625122,310.102640453947
"MORN5",51.4659017631259,53.8590918948832,51.0661715993953,50.7892406757707,51.3041988880571,57.9866544893784
"C18orf21",49.3312520858337,47.5160168979923,43.2990660018416,50.7265451295264,45.894106612111,44.4838576744269
"SSU72",43.0727341480397,46.5866278388093,44.0855514239048,72.4779376921211,45.5008944257834,47.8265228097409
"GNG12-AS1",19.4237519789426,17.8679101503791,19.0699875941111,17.128334850788,18.8261096795881,16.0487163113108
"FAM96B",323.599596807079,343.777901686269,345.844091742055,439.575753245789,414.173087016992,354.655128586377
"TLN1",293.106875510237,259.665763611077,250.399522344324,328.515811715189,278.716576850826,319.530757708278
"TDP2",134.865637527,193.163540253841,148.16347185769,270.557420496869,154.588051091539,175.17183261209
"OR7D4",160.24283052622,105.018959734071,118.200964705875,80.4919722391917,104.64053413913,144.180974990414
"PATL2",44.937812716351,40.1370310809938,45.7503539559408,34.5376974559363,45.6531024587941,41.614459672152
"LOC729088",46.9552640773821,40.1601568835586,45.2938415455409,45.5201371717809,42.4797390887447,51.9109865216346
"HILPDA",228.760158496449,93.7328601206183,159.066365436329,135.435769077467,106.539603010198,163.023936725878
"CASP8",23.9288639532573,26.8999017810137,26.6630146010572,26.5039778917921,26.6274616433484,28.107553871298
"RPRD1B",62.6197133824598,93.9719316906136,83.4972628610011,96.586724212217,93.5273236949771,84.4661857835281
"GPN1",77.4154708018073,109.335644477233,83.7599107558276,185.034310365411,93.0843030960949,99.9997789019087
"PTPN20",5.97778910512196,8.5241619319761,5.84728536149633,6.5784468110788,6.13651685260587,6.34656076705871
"MIS18A",112.700726083989,116.537947771859,112.897834207903,114.202941489526,117.01162036379,123.043786859298
"LOC105376862",6.30743747508705,4.25075467878597,4.87033159131617,4.67483679692539,6.01473843587629,4.70140511056416
"RSPO2",62.8945890792676,63.545056951807,68.757157582771,95.181745062172,68.5936442386478,65.1562649790797
"TTPAL",50.5851143047356,65.0804806085219,60.9862456352286,79.2716994206522,58.7349775325225,59.5448569956686
"DNAJC14",70.602873670705,81.7718287430051,78.4291467523248,89.8230621107031,77.7347085091972,73.4311352912669
"INPP5E",201.762325631106,205.579557191052,206.114758485991,198.820126825124,213.660439657064,213.402608404356
"LOC105378687",55.539835537676,27.7046070592169,36.8283025875448,34.3315003024252,35.6212688039295,33.1124762796931
"LOC105370502",18.5477206727573,14.633043915042,17.1758786691774,18.0738255780277,16.4161965006436,19.8814489705596
"HSPD1",239.403593933944,126.556956454368,148.553316095036,119.440640762654,139.449988000614,139.410749819433
"PIR",34.8639227549556,33.7158251259597,33.2239108368242,36.4297957179434,35.2390713373218,30.4546369282371
"DDX26B-AS1",28.4689425200348,26.71766456751,23.5001164390165,24.6794613211635,22.2738339103543,34.0911650818533
"MANEA",32.4075038965474,40.4187555987319,29.4738169317006,46.3876867853763,39.5319166827934,38.8577106458306
"NPC1L1",96.6930304415348,82.4125416357184,90.4589283738458,77.002266185514,92.2531328642198,90.1851505033626
"YPEL2",146.696739945091,191.888308168628,137.826644017912,201.731281100565,184.694231815749,173.092691405001
"C4orf47",26.8239352382803,42.2697595335692,23.1395836309554,27.1769377540192,31.431713114496,31.3938922098098
"LOC105370021",27.2640692504749,30.9411947423581,32.3069354104739,23.1568481799098,26.6539972062591,26.3974378045643
"KRT34",37.0746199846598,31.3122874475371,36.9244621138911,32.4236139923237,38.4058187293215,34.2647201732289
"PPP1CB",278.566700473449,403.508708564622,274.534947200063,530.925270145947,309.390909922637,346.264577816407
"PHF2P1",89.6142341353922,74.1025867784414,89.6094513422907,69.7977197450143,83.3470943685471,86.8889011832828
"GIMAP2",32.6966970495074,27.7315048263644,27.8557450737899,31.5891891391091,27.4860559443266,36.6468426097482
"CEP41",52.1771413610225,59.2371776468744,57.287838498068,65.7304064043749,56.5092446526652,54.1077370658118
"SERPINA4",31.7561475594301,31.9988688037956,36.7657624806634,26.5838103348773,29.2543853179109,30.2935553010564
"COL17A1",81.1396964384266,66.9371397356636,78.8178778110441,65.9735576593446,77.5735542947685,76.5983813055851
"LOC101927244",10.8740012953875,8.41012358070454,8.57830136321562,8.62383753902424,9.63942439184207,9.56831575934148
"LOC105375730",63.5246228582347,99.5893800381381,109.256401371981,109.30472828602,80.7551297005325,91.979088769783
"RRAS",232.015760713154,167.083562571972,188.813354781199,215.619373424856,216.547694133328,206.934875758838
"OR4F13P",30.7002181065896,28.4071658975913,28.7121806447067,33.4304530175602,36.5987127039293,21.6394211083475
"LOC105378969",33.7986566110135,44.5333118223856,43.0356692703596,38.3768129234691,39.7664811028324,44.5767335817911
"TSPEAR-AS1",136.212189092464,105.996219515364,130.745909411343,92.6832674072395,123.300599152848,122.153043563764
