,C_GSM208622.cel,C_GSM208623.cel,C_GSM208624.cel,P_GSM208625.cel,P_GSM208626.cel,P_GSM208627.cel,P_GSM208628.cel,P_GSM208629.cel
CST5,39.0835778729632,50.5196845370299,46.4511080894234,52.6207025605793,44.6698958468514,53.837020258647,46.5254741035936,40.4691676164731
PDLIM2,61.094523540431,40.7891231961582,59.8164012216766,72.0741888605375,95.2325327194138,43.1386850518946,61.0965047389399,40.4214866095861
NDUFS1,97.8733379325207,95.4037864857457,102.574735824443,68.6672551643579,119.228676215491,77.6142043321296,83.2216212129525,120.426049635597
LRRC3,20.1781740042288,24.6055650260406,21.266337723001,30.4669208034837,23.1070311044583,23.694780429416,22.3678748856053,18.3586429829152
ZBTB7B,53.0843632229303,58.8929608133833,49.5973014604732,74.3092475622122,60.4380983663974,52.7640913350763,59.0433325112901,43.6345692075706
DHODH,41.8353160653918,44.1242744300514,44.667648535071,44.9457211211386,46.4185031240733,46.7469809042545,44.4971982467825,41.7328715541525
CPS1-IT1,21.7629322612223,23.4831994580376,20.2071331901579,23.1953070522546,22.4168548292705,21.8807262653537,22.4359177911484,22.3310709999859
SIRT6,87.893006482445,98.8916902804046,94.3433898464067,93.0724318897583,84.6568411350169,90.7333717985597,119.359280402136,106.764188878383
PAK3,452.752047428386,652.921274782534,745.038357943064,740.570983627433,596.983709589516,286.760542350051,635.786130783097,558.178769585498
PEX13,20.6592434392769,17.4175483374932,19.1236707788381,14.1101236260339,20.9381142394935,16.6999551542205,17.6305746605978,21.5346245323594
MMP15,54.846401492855,51.9332281311965,51.8158580529271,52.2749712975325,57.4986526780002,46.6682580664163,49.8789132863617,49.6526775790092
FLII,86.4213571743401,78.6613109280757,91.5312767239081,86.8544557445519,88.2888703932639,96.6752948204772,63.9033355403861,72.7702120618086
CSNK2A2,105.918379706961,91.1122893982792,91.0091542890026,82.9026446672569,99.2934771686352,96.2841713585764,87.3548036506639,96.4256903948949
AOC4P,51.3905042092452,56.6872629382454,52.9642201049543,58.145972226284,55.2315975419708,52.8151454488251,57.318062731506,53.0975786152717
BRD1,88.816097318475,74.4996348228229,88.4110167116851,109.214790240589,79.3316035717651,83.5710312854314,88.3694348892376,81.3264393978852
CXCL6,12.8254388040781,15.6843757823986,13.1807336717474,14.2386134821902,14.9633281819432,14.7972404543171,13.7435610506514,13.9656179779185
DIAPH3,13.6405492850363,13.3315015938497,13.86019857761,13.6948921510494,13.0955372029518,15.8566167582678,14.3464370896897,13.5123241804667
RAX,96.5244296339259,115.441158462216,100.67719824108,138.922700376625,91.1633549850379,112.959271896175,131.142317165811,89.0548802336049
SEC14L4,19.6136076412278,22.7215837815436,20.4695815393203,26.8339700249036,21.2284171916992,22.8171474043378,22.7373590916949,17.4780125419084
SH3PXD2A,11.9642201156512,14.0547940873085,12.5774947293166,13.1991025878472,10.6874077207784,11.7329207126523,13.0590144533958,13.2028437299316
KAZALD1,34.662721277201,29.713963566144,32.1079106926473,30.0557383669341,32.5041946987912,34.3261722926957,30.1305315500901,28.0597650072888
RP11-119F7.5,8.76717130830473,10.7505485834276,10.0705133800111,10.2317343838156,9.17969533892336,10.6774605777652,11.6337987731783,9.66033107010526
HOXA4,44.0754107656831,44.6173276881196,43.1675550768199,44.751893715791,42.5207419095029,48.4054641710952,45.2441151929495,45.4792513844625
CD99,540.509266861055,297.757686716986,394.167883122326,270.409215585124,431.66465501207,632.869744847362,394.28900373195,617.118939989483
CSPG4,18.0340209684885,21.3094065486391,21.9395986421512,24.0826963096085,21.4377162813614,19.9169622194124,22.0080327037869,18.9947283509708
TMEM147,524.379662468053,463.534277797527,507.977393627485,345.061780115886,465.084277797528,625.675563157875,486.004862795229,453.670374887814
CDC14A,11.085229685888,11.5820380869701,10.9655195249566,11.107883742454,10.8205864791994,12.1372020565945,12.1972679160687,11.5563727270009
COX6B1P3 ,71.3299293969494,71.1752636639851,69.4547206629137,72.6821038123026,68.0170692514676,64.998559035652,70.5568256009177,67.2983317289245
HSD17B12,400.78157539178,265.095754136116,500.657871932539,353.213033819125,337.097169317643,584.004135960239,414.606462327503,409.036062002862
GOLGA8N,188.750187209258,148.2998085311,174.959422839279,165.9462459938,171.374397619988,165.748769475017,135.658736124915,176.199755437544
PRR5L,12.0542525748571,11.3831319326186,11.292199978535,10.5590731221645,11.1549321127251,12.4840387137314,11.9531145836013,14.6915296738733
CLEC4A,41.1836227924055,43.8086564414943,43.0108907723599,43.7065916941539,38.4133247260209,54.7672827070379,44.2715828210753,43.2276994334703
