V1,V2,Gene1,Gene2
Q9NRM6,Q9UHF5,IL17RB,IL17B
Q9H293,Q9NRM6,IL25,IL17RB
O14654,P13674,IRS4,P4HA1
P05067,Q5SSJ5,APP,HP1BP3
B4DZT3,Q5SSJ5,LMNB1,HP1BP3
Q5SSJ5,Q9Y5H9,HP1BP3,PCDHA2
Q5BKZ1,Q5SSJ5,ZNF326,HP1BP3
Q16891,Q5SSJ5,IMMT,HP1BP3
Q16629,Q5SSJ5,SRSF7,HP1BP3
P07900,Q5SSJ5,HSP90AA1,HP1BP3
A0A024R3Z2,Q5SSJ5,SUMO1,HP1BP3
P35226,Q5SSJ5,BMI1,HP1BP3
P61956,Q5SSJ5,SUMO2,HP1BP3
A0A024R713,O95379,DLD,TNFAIP8
P28072,P35998,PSMB6,PSMC2
Q7L8S5,Q9C035,OTUD6A,TRIM5
Q9BYD2,Q9P015,MRPL9,MRPL15
P17980,P35998,PSMC3,PSMC2
N0E4C7,Q9UNS2,CSNK2B,COPS3
O43181,Q9P015,NDUFS4,MRPL15
P43351,P63096,RAD52,GNAI1
P23258,Q9H4B7,TUBG1,TUBB1
Q8N653,Q9C035,LZTR1,TRIM5
Q6NYC1,Q9NP64,JMJD6,ZCCHC17
Q6NYC1,Q9NVM9,JMJD6,INTS13
O75582,Q9NRM6,RPS6KA5,IL17RB
O75362,Q9UGL1,ZNF217,KDM5B
O75362,Q9UKL0,ZNF217,RCOR1
O00154,O95379,ACOT7,TNFAIP8
O95379,P00966,TNFAIP8,ASS1
O95379,Q9NT62,TNFAIP8,ATG3
P43351,P60709,RAD52,ACTB
P23258,P60709,TUBG1,ACTB
P0CG47,Q9C035,UBB,TRIM5
A0A024R224,Q9UNS2,BTBD1,COPS3
Q4G0J3,Q6NYC1,LARP7,JMJD6
P12035,Q5SSJ5,KRT3,HP1BP3
P35228,P35998,NOS2,PSMC2
A0A024RDM4,Q9P015,MRP63,MRPL15
J3QSY4,Q6NYC1,NHP2,JMJD6
P61073,Q06124,CXCR4,PTPN11
P48061,P61073,CXCL12,CXCR4
P61073,Q9NQ11,CXCR4,ATP13A2
P50502,P61073,ST13,CXCR4
A0N0R2,P61073,BLR1,CXCR4
A0A024R8M0,P61073,GNA13,CXCR4
P51681,P61073,CCR5,CXCR4
A0A024R7M7,P61073,JAK3,CXCR4
O60674,P61073,JAK2,CXCR4
A0A024R1D8,P61073,ADRBK2,CXCR4
P61073,Q96J02,CXCR4,ITCH
P54578,P61073,USP14,CXCR4
O19617,P61073,HLA-C,CXCR4
P23258,Q9H0W5,TUBG1,CCDC8
Q13501,Q96IZ0,SQSTM1,PAWR
P14416,Q96IZ0,DRD2,PAWR
Q504Q3,Q96IZ0,PAN2,PAWR
P13866,Q96IZ0,SLC5A1,PAWR
Q6NYC1,Q96IZ0,JMJD6,PAWR
A0A024R2U9,Q96IZ0,APEH,PAWR
Q96IZ0,Q96TA1,PAWR,FAM129B
Q86VP6,Q96IZ0,CAND1,PAWR
P21283,Q96IZ0,ATP6V1C1,PAWR
P34896,Q96IZ0,SHMT1,PAWR
A0A024RB99,Q96IZ0,SHMT2,PAWR
Q96IZ0,Q9UBQ0,PAWR,VPS29
O60749,Q96IZ0,SNX2,PAWR
P0C2W1,Q96IZ0,FBXO45,PAWR
E9PJK2,Q96IZ0,EED,PAWR
P0CG48,Q96IZ0,UBC,PAWR
O95379,P41236,TNFAIP8,PPP1R2
A0A024R475,Q5SSJ5,CUL3,HP1BP3
Q5SSJ5,Q93034,HP1BP3,CUL5
O95817,P35998,BAG3,PSMC2
A0A024RBH7,Q5SSJ5,TMPO,HP1BP3
P62847,Q5SSJ5,RPS24,HP1BP3
P18583,Q5SSJ5,SON,HP1BP3
Q5SSJ5,Q9BVJ6,HP1BP3,UTP14A
A2RUM7,Q5SSJ5,RPL5,HP1BP3
P46087,Q5SSJ5,NOP2,HP1BP3
Q5SSJ5,Q96PK6,HP1BP3,RBM14
P02545,Q5SSJ5,LMNA,HP1BP3
P23258,Q13162,TUBG1,PRDX4
Q5SSJ5,Q9BVS4,HP1BP3,RIOK2
E9PJK2,Q5SSJ5,EED,HP1BP3
Q5SSJ5,Q99496,HP1BP3,RNF2
P51858,Q5SSJ5,HDGF,HP1BP3
Q96GG9,Q9UNS2,DCUN1D1,COPS3
O95486,Q6NYC1,SEC24A,JMJD6
P35998,Q16186,PSMC2,ADRM1
A0A024R4M0,P23258,RPS9,TUBG1
Q6NYC1,Q9HAZ1,JMJD6,CLK4
O00231,P35998,PSMD11,PSMC2
A0A024R2T4,Q9UNS2,KLHL18,COPS3
Q15843,Q9UNS2,NEDD8,COPS3
A8K517,P23258,RPS23,TUBG1
A0JLT2,P28360,MED19,MSX1
P32119,P43351,PRDX2,RAD52
P08047,P28360,SP1,MSX1
O75400,Q6NYC1,PRPF40A,JMJD6
Q6NYC1,Q9UIA9,JMJD6,XPO7
P28360,Q07687,MSX1,DLX2
P23258,Q96L21,TUBG1,RPL10L
P43351,Q71U36,RAD52,TUBA1A
Q6NYC1,Q96IZ7,JMJD6,RSRC1
P0CG47,P23258,UBB,TUBG1
B2R4R0,P23258,HIST1H4L,TUBG1
A0A024RAI2,P35998,INSIG2,PSMC2
P23258,Q02543,TUBG1,RPL18A
P25786,P35998,PSMA1,PSMC2
O15111,O43353,CHUK,RIPK2
O15111,Q9UNS2,CHUK,COPS3
P35998,Q14318,PSMC2,FKBP8
B7Z478,P35998,PSMB2,PSMC2
P35998,Q13501,PSMC2,SQSTM1
P35998,P62993,PSMC2,GRB2
P25789,P35998,PSMA4,PSMC2
O15205,P35998,UBD,PSMC2
P27708,P35998,CAD,PSMC2
P35998,P61289,PSMC2,PSME3
P28070,P35998,PSMB4,PSMC2
P35998,Q06323,PSMC2,PSME1
A0A024R284,P35998,UBQLN1,PSMC2
P35998,Q9Y3D3,PSMC2,MRPS16
O75436,P35998,VPS26A,PSMC2
P35998,Q9NSR3,PSMC2,DKFZp761O2023
P23258,P82930,TUBG1,MRPS34
P35998,Q13561,PSMC2,DCTN2
O43396,P35998,TXNL1,PSMC2
P35998,Q99496,PSMC2,RNF2
O00487,P35998,PSMD14,PSMC2
P35998,Q96DT6,PSMC2,ATG4C
P55081,Q6NYC1,MFAP1,JMJD6
A0A024R880,P13674,CDK9,P4HA1
A0A087WW00,Q9C035,UBE2D1,TRIM5
O95071,P23258,UBR5,TUBG1
P23258,Q6FHY4,TUBG1,NAPG
O95379,Q8NBF2,TNFAIP8,NHLRC2
Q96IZ0,Q9UNH7,PAWR,SNX6
O15355,Q96IZ0,PPM1G,PAWR
P42224,Q96IZ0,STAT1,PAWR
O15519,O43353,CFLAR,RIPK2
G5EA09,O95379,SDCBP,TNFAIP8
A0A090N7U0,Q5SSJ5,CUL1,HP1BP3
A0A090N7U0,Q9UNS2,CUL1,COPS3
P28360,Q9UNL4,MSX1,ING4
A0A024R475,Q9UNS2,CUL3,COPS3
P23258,P62280,TUBG1,RPS11
Q15046,Q6NYC1,KARS,JMJD6
P23258,P68366,TUBG1,TUBA4A
Q96IZ0,Q9H0W5,PAWR,CCDC8
A0A024R7C5,Q9P015,MRPL4,MRPL15
Q9P015,Q9Y3B7,MRPL15,MRPL11
P52815,Q9P015,MRPL12,MRPL15
Q02218,Q9P015,OGDH,MRPL15
A0A024R3R0,Q9P015,MRPL55,MRPL15
Q8WVM8,Q9P015,SCFD1,MRPL15
Q13501,Q9C035,SQSTM1,TRIM5
O43395,P23258,PRPF3,TUBG1
Q9NQ50,Q9P015,MRPL40,MRPL15
A0A024R1K7,P23258,YWHAH,TUBG1
Q14689,Q6NYC1,DIP2A,JMJD6
Q9H4G0,Q9UNS2,EPB41L1,COPS3
Q6NYC1,Q6ZMK1,JMJD6,CYHR1
P49406,Q9P015,MRPL19,MRPL15
Q15369,Q9UNS2,ELOC,COPS3
O60934,P23258,NBN,TUBG1
Q92466,Q9UNS2,DDB2,COPS3
P28360,Q04725,MSX1,TLE2
A0A024R244,P23258,SYK,TUBG1
O75489,P03923,NDUFS3,MT-ND6
O75489,O95139,NDUFS3,NDUFB6
O75489,Q99497,NDUFS3,PARK7
Q15843,Q9H773,NEDD8,DCTPP1
P05067,Q9H773,APP,DCTPP1
O00217,O75489,NDUFS8,NDUFS3
O75489,P09001,NDUFS3,MRPL3
O75489,P49821,NDUFS3,NDUFV1
O75489,Q9Y512,NDUFS3,SAMM50
J3KPF3,O75489,SLC3A2,NDUFS3
Q6FI81,Q9H773,CIAPIN1,DCTPP1
O75489,Q15526,NDUFS3,SURF1
A0A024R284,Q9H773,UBQLN1,DCTPP1
P53384,Q9H773,NUBP1,DCTPP1
P46926,Q9H773,GNPDA1,DCTPP1
Q9H773,Q9NZC7,DCTPP1,WWOX
O75489,Q13418,NDUFS3,ILK
G5EA09,Q9H773,SDCBP,DCTPP1
Q96IZ0,Q9NVV9,PAWR,THAP1
P53350,Q9H773,PLK1,DCTPP1
Q5SSJ5,Q8IY81,HP1BP3,FTSJ3
Q6NYC1,Q8NAV1,JMJD6,PRPF38A
P0CG48,Q9H773,UBC,DCTPP1
Q6NYC1,Q9P1Y6,JMJD6,PHRF1
O60885,Q6NYC1,BRD4,JMJD6
Q96L50,Q9UNS2,LRR1,COPS3
O00115,Q9NRD1,DNASE2,FBXO6
P15531,Q9NRD1,NME1,FBXO6
P35998,Q9NRD1,PSMC2,FBXO6
Q9BX70,Q9UNS2,BTBD2,COPS3
Q6NYC1,Q7L4I2,JMJD6,RSRC2
